Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand,StoverNconc,ProductNconc
9/06/2023 12:00:00 am,41.822483328617558,0.34928131689451547,0.0086015241948622645,0.22164724114166678,0,21.394590587418751,8.4477951651337442,0.14447766968067746,1,0.59999999999999432,0,0.4558345837309386,21.394590587418751,0.030823929626699068,0.03711680755035221
10/06/2023 12:00:00 am,40.723653931679564,0.40821694464980496,0.0093101264676747064,0.25436837837649712,0,21.802807532068556,8.6233061005294278,0.95429095713235945,1,4.0700000000000074,0,0.47302747941009826,21.802807532068556,0.030548068035124585,0.036900445517744768
11/06/2023 12:00:00 am,39.133776962823788,0.41586159078848794,0.0091303173239367652,0.25436837837649712,0,22.218669122857044,8.8024394731991578,1.4375140737677259,1,6.3799999999999955,0,0.49028458382871742,22.218669122857044,0.030275240809467002,0.036686463379974117
12/06/2023 12:00:00 am,38.960582817491371,0.46053095620969131,0.0095503348618457551,0.27778647601543305,0,22.679200079066735,9.0012034657714164,0,0.99984848484848499,0,0,0.50905484410696233,22.679200079066735,0.029982284636226601,0.036456693832334588
13/06/2023 12:00:00 am,37.805286988420555,0.41580705962705977,0.0085255448750594098,0.24455804394542904,0,23.095007138693795,9.1810107428244301,0.99257235826424906,1,4.5600539016718074,0,0.52566528812339819,23.095007138693795,0.029725655735141365,0.036255416262855972
14/06/2023 12:00:00 am,37.617178737289073,0.40858940168924818,0.0081606765013049198,0.23614468725674717,0,23.503596540383043,9.3580119836363984,0.023824213200286031,1,0.11000000000001364,0,0.54165235675952372,23.503596540383043,0.02948041316438707,0.036063069148538879
15/06/2023 12:00:00 am,37.18982915402578,0.37014564845320308,0.0074275081199814963,0.21158756087755143,0,23.873742188836246,9.5186253438181012,0.27621900380762615,1,1.289999999999992,0,0.55583248181685307,23.873742188836246,0.029263916129129847,0.035893267552258704
16/06/2023 12:00:00 am,36.62596932400654,0.42197372290098656,0.0078737369570376359,0.23614468725674717,0,24.295715911737233,9.7020322276267397,0.38590453133203517,1,1.8300000000000125,0,0.57163135574623392,24.295715911737233,0.02902339556023514,0.035704623968811869
17/06/2023 12:00:00 am,36.104070167077651,0.4334701965625456,0.0077818475086388617,0.23846298194650548,0,24.729186108299778,9.8907690354286935,0.33467378982148926,1,1.6100000000000136,0,0.58743924482003829,24.729186108299778,0.028782996804577379,0.035516075925158722
18/06/2023 12:00:00 am,34.951589001075106,0.44485454420884807,0.0076846135276049665,0.24056176690507577,0,25.174040652508626,10.084808795832624,0.95587300222637228,1,4.75,0,0.60320547647899614,25.174040652508626,0.028542998477503995,0.035327841943140384
19/06/2023 12:00:00 am,32.642657553899816,0.46805151476326401,0.0077242137201807282,0.24883497742201627,0,25.64209216727189,10.289339932211629,2.0974391235542171,1,11.159999999999997,0,0.61928370129834476,25.64209216727189,0.028297489135409259,0.035135285596399418
20/06/2023 12:00:00 am,30.96361196065941,0.4741628427426825,0.0075500669359236383,0.24764223020218487,0,26.116255010014573,10.496926248837028,1.4600750476358211,1,8.1899999999999977,0,0.63503104791673026,26.116255010014573,0.028055755576819958,0.034945690648486238
21/06/2023 12:00:00 am,30.573003287741628,0.45553464978427627,0.0071115805420127742,0.23384077889026353,0,26.571789659798849,10.696716725630848,0.17602638256578265,1,0.99999999999998579,0,0.6496434638305616,26.571789659798849,0.027829831247785985,0.034768495096302733
22/06/2023 12:00:00 am,30.191707242698879,0.41382315194831421,0.0064905182925834026,0.2102974928153889,0,26.985612811747163,10.878514535928808,0.18426090420240862,1,1.0599999999999881,0,0.6624788793643156,26.985612811747163,0.02762972180972241,0.034611546517429342
23/06/2023 12:00:00 am,29.613750856845591,0.42232749481948062,0.0064013886946803211,0.21137219698464654,0,27.407940306566644,11.064340532844772,0.37340247671313453,1,2.1899999999999977,0,0.67514880366352137,27.407940306566644,0.027430325246287107,0.034455157055911456
24/06/2023 12:00:00 am,28.893537004989795,0.49282982779162765,0.0068979074070334434,0.24149831121096435,0,27.900770134358272,11.281556291324726,0.47578024268216523,1,2.8599999999999994,0,0.68939010929449607,27.900770134358272,0.027203547165267218,0.034277291894327232
25/06/2023 12:00:00 am,28.314978193137144,0.45978969943520198,0.0063840535851866775,0.22209143020229469,0,28.360559833793474,11.484562786122725,0.34724459620492892,1,2.1300000000000097,0,0.70215531480933724,28.360559833793474,0.026997463647595022,0.034115657762819621
26/06/2023 12:00:00 am,28.04630825737739,0.44815801835815705,0.0061088049479529616,0.21374896377849395,0,28.808717852151631,11.682757651387186,0.04036968612804321,1,0.25,0,0.71412133221376639,28.808717852151631,0.026801477151627794,0.033961942864021794
27/06/2023 12:00:00 am,27.490619562974789,0.43677486395158027,0.0058560860860303876,0.20603387220407854,0,29.245492716103211,11.87622247890814,0.33080378874113048,1,2.0900000000000034,0,0.72533973137939878,29.245492716103211,0.026614920533426817,0.033815623947785735
28/06/2023 12:00:00 am,27.257359762850122,0.44656414331964456,0.0057846020063685444,0.20751974118860883,0,29.692056859422856,12.074330107910269,0,0.99939393939393928,0,0,0.73636666602732381,29.692056859422856,0.026428547500912804,0.033669449020323768
29/06/2023 12:00:00 am,26.896054175079254,0.44625128329264641,0.0056354535930474015,0.20476574510624465,0,30.138308142715502,12.272605243249286,0.12545550317751419,1,0.81014262849595298,0,0.7469494426499188,30.138308142715502,0.026246543113758208,0.033526700481378985
30/06/2023 12:00:00 am,26.393476014343179,0.44310760983962183,0.0054720909299987852,0.20099162407564036,0,30.581415752555124,12.469783178351655,0.26593426590209418,1,1.75,0,0.75703754131055911,30.581415752555124,0.026069852320938031,0.033388119467402375
1/07/2023 12:00:00 am,25.944321420717333,0.46456125389324399,0.0054889982875678811,0.20709450477728075,0,31.045977006448368,12.676824725178941,0.19717684279745071,1,1.3199999999999932,0,0.7671776725201398,31.045977006448368,0.025888755605468786,0.033246082827818657
