Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
25/01/2023 12:00:00 am,0,0.30228252450410764,0,0.2324597405631974,0,403.36564315704112,182.55772642883329,0,0.90000000000000002,0,0,0,403.36564315704112
26/01/2023 12:00:00 am,49.849540397456394,0,-0.35033373641561938,0.19987413387201575,0,0,0,0,0.79857575757575749,0,0,0,0
27/01/2023 12:00:00 am,49.721946721634481,0,-0.31376328550408616,0.18616960968217194,0,0,0,0,0.75042446280991726,0,0,0,0
28/01/2023 12:00:00 am,49.655822678334538,0,-0.2954500915413365,0.22932604824138766,0,0,0,0,0.86793590783871777,0,6.6000000000000023,0,0
29/01/2023 12:00:00 am,49.584253301533899,0,-0.27056575956458273,0.19899638276394627,0,0,0,0,0.73298843145201065,0,0,0,0
30/01/2023 12:00:00 am,49.57371843238316,0,-0.24687677411679676,0.23634190496606031,0,0,0,0,0.83375089549153625,0,6.6000000000000023,0,0
31/01/2023 12:00:00 am,49.563032996895103,0,-0.21674116523526532,0.20605572974720288,0,0,0,0,0.72211400029101058,0,0,0,0
1/02/2023 12:00:00 am,49.60383555545021,0,-0.18023039177237399,0.22103295032748202,0,0,0,0,0.80841172812067952,0,6.6000000000000023,0,0
2/02/2023 12:00:00 am,49.641959415622445,0,-0.14491655445645701,0.18304041462869072,0,0,0,0,0.72558950537794853,0,0,0,0
3/02/2023 12:00:00 am,49.730099321442509,0,-0.12296975591408099,0.21110966173415138,0,0,0,0,0.84626490765859808,0,6.6000000000000023,0,0
4/02/2023 12:00:00 am,49.828953499076398,0,-0.11545819032045745,0.2143123679543471,0,0,0,0,0.76389282546352544,0,0,0,0
5/02/2023 12:00:00 am,49.922989486980335,0,-0.084084312180536358,0.17812030008447044,0,0,0,0,0.73201942047172985,0,0,0,0
6/02/2023 12:00:00 am,50.063982300818026,0,-0.0708916969532849,0.21188451079097614,0,0,0,0,0.83684316818264559,0,6.6000000000000023,0,0
7/02/2023 12:00:00 am,50.204170637247941,0,-0.055903009839462392,0.19609134626937461,0,0,0,0,0.77791000276517275,0,0,0,0
8/02/2023 12:00:00 am,50.391915735809796,0,-0.042938234719662738,0.23068333328151644,0,0,0,0,0.88351278416271306,0,6.6000000000000023,0,0
9/02/2023 12:00:00 am,50.569385020025891,0,-0.029822225092841492,0.20729150930894,0,0,0,0,0.79463418007210374,0,0,0,0
10/02/2023 12:00:00 am,50.736655021037855,0,-0.017385308941754829,0.18465530995372162,0,0,0,0,0.71207852146246808,0,0,0,0
11/02/2023 12:00:00 am,50.961690976635282,0,-0.0062120706669226422,0.23124802626435112,0,0,0,0,0.84744243082800663,0,6.6000000000000023,0,0
12/02/2023 12:00:00 am,51.193038678729728,0,0.005284070321645018,0.22606363177280561,0,0,0,0,0.80123488542163968,0,0,0,0
13/02/2023 12:00:00 am,51.396216535653835,0,0.013962184202618744,0.18921567272148535,0,0,0,0,0.75854049621018138,0,0,0,0
14/02/2023 12:00:00 am,51.597295870482149,0,0.02102812498320894,0.18005120984510564,0,0,0,0,0.7517573561771097,0,0,0,0
15/02/2023 12:00:00 am,51.793078503345207,0,0.026928476729230155,0.16885415613382637,0,0,0,0,0.72889229562346702,0,0,0,0
16/02/2023 12:00:00 am,52.041612768597055,0,0.034235071892743107,0.21429919335910222,0,0,0,0,0.87659152327404199,0,6.6000000000000023,0,0
17/02/2023 12:00:00 am,52.297022273511288,0,0.043490339832478853,0.21191916508175385,0,0,0,0,0.79967139875783078,0,0,0,0
18/02/2023 12:00:00 am,52.5519848604565,0,0.051100881119321429,0.20386170582588845,0,0,0,0,0.74608382742712254,0,0,0,0
19/02/2023 12:00:00 am,52.834594478318081,0,0.054540054160845841,0.22806956370073467,0,0,0,0,0.86667818118904605,0,6.6000000000000023,0,0
20/02/2023 12:00:00 am,53.102398325065728,0,0.057931939531608023,0.20987190721604176,0,0,0,0,0.82217150469386557,0,0,0,0
