Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand,StoverNconc,ProductNconc
7/09/2021 12:00:00 am,23.03280034854081,0,-0.081565027450054117,0.59866999250747177,0,0,0,0,0.85194598218033923,0,0,0,0,0,0
8/09/2021 12:00:00 am,23.438646589216731,0,-0.066966670941322803,0.47281291161724398,0,0,0,0,0.80289454684268335,0,0,0,0,0,0
9/09/2021 12:00:00 am,23.6486717266265,0,-0.039286263835915491,0.24931140124568354,0,0,0,0,0.86040451926292538,0,0,0,0,0,0
10/09/2021 12:00:00 am,24.151911152805951,0,-0.069794003424540563,0.57303342960399173,0,0,0,0,0.82129522293279233,0,0,0,0,0,0
11/09/2021 12:00:00 am,24.440869624192096,0,-0.045279254833477722,0.33423772621962289,0,0,0,0,0.79142994209887263,0,0,0,0,0,0
12/09/2021 12:00:00 am,24.722011626280548,0,-0.043273728224850316,0.32441573031330312,0,0,0,0,0.76864635285663241,0,0,0,0,0,0
13/09/2021 12:00:00 am,25.292289568368339,0,-0.061287488888112307,0.63156543097590523,0,0,0,0,0.8710101179237606,0,0,0,0,0,0
14/09/2021 12:00:00 am,25.715111153365168,0,-0.04380636150138173,0.46662794649821027,0,0,0,0,0.9067854462542676,0,0,0,0,0,0
15/09/2021 12:00:00 am,25.903855013273883,0,-0.024854543676557483,0.21359840358527468,0,0,0,0,0.93712690093790862,0,0,0,0,0,0
16/09/2021 12:00:00 am,26.115835436000626,0,-0.025927594912015905,0.23790801763875996,0,0,0,0,0.91582856228022891,0,0,0,0,0,0
17/09/2021 12:00:00 am,26.358187951805885,0,-0.027331121672794723,0.26968363747805352,0,0,0,0,0.89501427677386003,0,0,0,0,0,0
18/09/2021 12:00:00 am,26.528164022447388,0,-0.021934515155461298,0.19191058579696499,0,0,0,0,0.87738520768589012,0,0,0,0,0,0
19/09/2021 12:00:00 am,26.822726440761269,0,-0.029494242992715414,0.32405666130659483,0,0,0,0,0.85079777714995408,0,0,0,0,0,0
20/09/2021 12:00:00 am,27.235385705840127,0,-0.036217697111787572,0.44887696219064538,0,0,0,0,0.81857058862154664,0,0,0,0,0,0
21/09/2021 12:00:00 am,27.645833376848451,0,-0.035046666189376907,0.44549433719770137,0,0,0,0,0.78136283459329448,0,0,0,0,0,0
22/09/2021 12:00:00 am,28.121535688252511,0,-0.038100628584718521,0.51380293998878013,0,0,0,0,0.7411108097809127,0,0,0,0,0,0
23/09/2021 12:00:00 am,28.494367870692376,0,-0.030051544357299065,0.40288372679716467,0,0,0,0,0.71191553545621011,0,0,0,0,0,0
24/09/2021 12:00:00 am,28.931650241647844,0,-0.026194320466473187,0.46347669142194059,0,0,0,0,0.89034233741208257,0,13.200000000000005,0,0,0,0
25/09/2021 12:00:00 am,29.451107560801347,0,-0.029022187282677692,0.54847950643618082,0,0,0,0,0.84312721345841146,0,0,0,0,0,0
26/09/2021 12:00:00 am,29.827359374367568,0,-0.022295806035508292,0.39854761960172991,0,0,0,0,0.78436380161131014,0,0,0,0,0,0
27/09/2021 12:00:00 am,30.036465624230779,0,-0.014193025805447235,0.22329927566865926,0,0,0,0,0.79315663582199647,0,0,0,0,0,0
28/09/2021 12:00:00 am,30.243150384536666,0,-0.013551358286097326,0.22023611859198425,0,0,0,0,0.77816065167452697,0,0,0,0,0,0
29/09/2021 12:00:00 am,30.525566397759647,0,-0.01591859132339124,0.29833460454637428,0,0,0,0,0.7475058381237123,0,0,0,0,0,0
30/09/2021 12:00:00 am,30.95834128149129,0,-0.020118589143013565,0.45289347287465531,0,0,0,0,0.73969867496185648,0,0,0,0,0,0
1/10/2021 12:00:00 am,31.204325984960324,0,-0.012699564937221908,0.25868426840625536,0,0,0,0,0.71886114738748597,0,0,0,0,0,0
2/10/2021 12:00:00 am,31.590247749168149,0,-0.013672770793295541,0.39959453500112002,0,0,0,0,0.8872748242447025,0,13.200000000000005,0,0,0,0
3/10/2021 12:00:00 am,32.02697855352524,0,-0.014077557335415491,0.45080836169250749,0,0,0,0,0.85769899676987904,0,0,0,0,0,0
4/10/2021 12:00:00 am,32.534858716469515,0,-0.014224693214369921,0.52210485615863833,0,0,0,0,0.85898084535260999,0,0,0,0,0,0
5/10/2021 12:00:00 am,32.233974896327723,0,-0.011591629941932524,0.52309773346571153,0,0,0,0.81238992366556939,1,4.377347286060683,0,0,0,0,0
6/10/2021 12:00:00 am,32.811130469824199,0,-0.011309383112312332,0.58846495660878861,0,0,0,0,0.96212121212121215,0,0,0,0,0,0
7/10/2021 12:00:00 am,33.351183896032808,0,-0.0096173468171265597,0.54967077302574008,0,0,0,0,0.94171258034894401,0,0,0,0,0,0
8/10/2021 12:00:00 am,34.041970491122328,0,-0.010484329671459847,0.70127092476097674,0,0,0,0,0.89890746306035574,0,0,0,0,0,0
9/10/2021 12:00:00 am,34.603722535255976,0,-0.007732072447637961,0.5694841165812865,0,0,0,0,0.84579020387951642,0,0,0,0,0,0
10/10/2021 12:00:00 am,34.994279973860174,0,-0.004959333586338488,0.39551677219053738,0,0,0,0,0.83356291013146977,0,0,0,0,0,0
11/10/2021 12:00:00 am,35.447012541513949,0,-0.0047271072279642112,0.45745967488173689,0,0,0,0,0.7981996351561953,0,0,0,0,0,0
12/10/2021 12:00:00 am,35.905970900697511,0,-0.0035264911530568099,0.46248485033661685,0,0,0,0,0.86675540710458765,0,0,0,0,0,0
13/10/2021 12:00:00 am,35.146261564466926,0,-0.0022065984196260047,0.38222184847370277,0,0,0,1.1397245862846661,1,5.6322395661681099,0,0,0,0,0
14/10/2021 12:00:00 am,35.446444152566947,0,-0.0015171557859616769,0.32210830264049217,0,0,0,0.020408558754509983,1,0.10000000000000853,0,0,0,0,0
15/10/2021 12:00:00 am,35.769228479245442,0,-0.0011016716394429693,0.32388599831793791,0,0,0,0,0.9651515151515152,0,0,0,0,0,0
16/10/2021 12:00:00 am,36.15975074871416,0,-0.00076749983258039833,0.39128976930129572,0,0,0,0,0.93005509641873285,0,0,0,0,0,0
17/10/2021 12:00:00 am,36.664224715053649,0,-0.00021693504097086702,0.50469090138046413,0,0,0,0,0.89200738792887568,0,0,0,0,0,0
18/10/2021 12:00:00 am,37.402776179132836,0,0.0010985884043535066,0.7374528756748342,0,0,0,0,0.82578259700688328,0,0,0,0,0,0
19/10/2021 12:00:00 am,38.012300205784939,0,0.002224857254621071,0.6072991693974803,0,0,0,0,0.80584287448368674,0,0,0,0,0,0
20/10/2021 12:00:00 am,38.442548637447317,0,0.0025762814855276872,0.42767215017685667,0,0,0,0,0.75026642300608537,0,0,0,0,0,0
21/10/2021 12:00:00 am,38.731717981546822,0,0.0024392535004622573,0.28673009059904575,0,0,0,0,0.72525754223921579,0,0,0,0,0,0
22/10/2021 12:00:00 am,39.161373802339,0,0.0032014915178812942,0.42645432927429955,0,8.411975824601905,7.6244401802298176,0,0.89991222086941591,0,13.200000000000005,0.0074359967558570812,8.411975824601905,0.059275630082488415,0.059372710586897179
23/10/2021 12:00:00 am,39.352301713094917,0.2918658074948155,0.0042652974548467171,0.47852842079588848,0,8.7038416320967205,7.8886813938540534,0,0.83986068512689072,0,0,0.0086006031499657656,8.7038416320967205,0.058290429176279579,0.058519546915541072
24/10/2021 12:00:00 am,39.49928286818799,0.32751178283851168,0.0050708552044227417,0.46942208272716163,0,9.0313534149352321,8.1851803305313453,0,0.78376253459283773,0,0,0.010063567995029764,9.0313534149352321,0.057246798978114619,0.057615784682078633
25/10/2021 12:00:00 am,39.599061487991108,0.42765678679006847,0.0065695488046841888,0.52086585778849825,0,9.4590102017253006,8.5723191349237542,0,0.73252674104688498,0,0,0.012242651052296284,9.4590102017253006,0.055972910125868705,0.056512623201783213
26/10/2021 12:00:00 am,39.79313928219095,0.4190815285251599,0.0069824644149818482,0.60617685831002477,0,9.8780917302504605,8.9516716746654037,0,0.89124044488955612,0,13.200000000000005,0.014698720716549072,9.8780917302504605,0.054811896890001419,0.055507209677939373
27/10/2021 12:00:00 am,39.952590145918137,0.42179411392281629,0.0074383635008068438,0.57380661414919132,0,10.299885844173277,9.3334571014658572,0,0.87158927808972797,0,0,0.017518913237519668,10.299885844173277,0.053721117960066983,0.054562617614903365
28/10/2021 12:00:00 am,40.065486874489189,0.49588942972070527,0.0086773045927301951,0.60010885369902778,0,10.795775273893982,9.78228184232972,0,0.83449662351831266,0,0,0.021318933686669692,10.795775273893982,0.052527522000841959,0.053528988124440458
29/10/2021 12:00:00 am,40.164716519466367,0.47872134902162422,0.0087924108731201045,0.56915858312568612,0,11.274496622915606,10.215540542701318,0,0.84534651700774321,0,0,0.025524091121171058,11.274496622915606,0.051456289175537392,0.052601322585001456
30/10/2021 12:00:00 am,40.245210651523124,0.48719586690715566,0.0091597401016265678,0.55853025886228891,0,11.761692489822762,10.656442445275713,0,0.84723941332538355,0,0,0.030386501865287036,11.761692489822762,0.050438826689883087,0.051720221051032779
31/10/2021 12:00:00 am,40.244150739283612,0.60163489455550057,0.010803174345181077,0.58977180797080364,0,12.363327384378263,11.200873827107536,0,0.78650034659725798,0,0,0.037261980525546592,12.363327384378263,0.04927223688812582,0.050709978336108956
1/11/2021 12:00:00 am,40.154656747153965,0.67359626480888224,0.011900111796755652,0.57220216088247688,0,13.036923649187145,11.810380092160912,0,0.72383949223371102,0,0,0.046184188920598529,13.036923649187145,0.048069827483548239,0.049668716583691257
2/11/2021 12:00:00 am,40.22504892065168,0.37942414449725703,0.0086374813701972641,0.4411788366247788,0,13.416347793684402,12.153683716112234,0,0.87015600251719072,0,13.200000000000005,0.051812228635354778,13.416347793684402,0.04743550956456731,0.049119410344573761
3/11/2021 12:00:00 am,40.295839709678461,0.32281442288957862,0.0082659448976762917,0.38533926701867638,0,13.73916221657398,12.445755878730786,0,0.84356353541702955,0,0,0.056956131446165612,13.73916221657398,0.046918059564615783,0.048671309313687891
4/11/2021 12:00:00 am,40.440105346871889,0.12354012179546636,0.0068006242987763699,0.26100513469011699,0,13.862702338369447,12.557528430595637,0,0.79575531310825298,0,0,0.059012976717663451,13.862702338369447,0.046725156356817288,0.048504259113120125
5/11/2021 12:00:00 am,40.419111621348677,0.40786954426210897,0.0093381846749664987,0.37753763406393009,0,14.270571882631556,12.926537151355877,0,0.74670879361180875,0,0,0.06615720971110188,14.270571882631556,0.046107359586561938,0.047969259848156726
6/11/2021 12:00:00 am,40.468762148742634,0.40996415469177805,0.0094640552208957729,0.4501506268648417,0,14.680536037323334,13.297425737818811,0,0.89336094712130087,0,13.200000000000005,0.073894511438218458,14.680536037323334,0.045514230782181767,0.047455622533023392
7/11/2021 12:00:00 am,40.397637865635929,0.61269973470093575,0.011647217971237467,0.52992823362298613,0,15.29323577202427,13.851698747904754,0,0.83318846446892525,0,0,0.086518891674980725,15.29323577202427,0.044675521245746849,0.046729317367450882
8/11/2021 12:00:00 am,40.227219578691063,0.73774112583593698,0.013065813082970834,0.55425702580810032,0,16.030976897860207,14.519047128214467,0,0.78293508819855417,0,0,0.10342982422627733,16.030976897860207,0.043734178835493603,0.045914134249293435
9/11/2021 12:00:00 am,39.966175175969383,0.80664534144600353,0.013755238520044344,0.53184570020427868,0,16.83762223930621,15.248674666224924,0,0.72649002005511298,0,0,0.12405935517842796,16.83762223930621,0.042780907890137124,0.04508862126568576
10/11/2021 12:00:00 am,39.776159107374518,0.88240431038601486,0.014453989724284355,0.6779342520668622,0,17.720026549692225,16.046770172124088,0,0.8881261334501096,0,13.200000000000005,0.14912696075358914,17.720026549692225,0.041818017445026029,0.044254777993630791
11/11/2021 12:00:00 am,39.515617979602894,0.89032537609516638,0.014285677486999049,0.61549857083654236,0,18.610351925787391,16.851971766892696,0,0.84135451831194974,0,0,0.1769265257057184,18.610351925787391,0.04092074470516685,0.043477758301381599
12/11/2021 12:00:00 am,39.121907874117902,1.0346756663949321,0.0156387678535026,0.62532679305644001,0,19.645027592182323,17.787652492213166,0,0.78832407099394364,0,0,0.21209467850658409,19.645027592182323,0.039959881209245374,0.04264567032553207
13/11/2021 12:00:00 am,38.429230642156512,1.4740084360967884,0.020731350887864153,0.76059985324753043,0,21.119036028279112,19.12050924682995,0,0.72122121402458628,0,0,0.26657681147385115,21.119036028279112,0.038721416507141282,0.041573185428864616
14/11/2021 12:00:00 am,38.004623157578557,0.99228827421571708,0.014328878043798454,0.55335191159396102,0,22.111324302494829,20.017698813439488,0,0.80406853333338468,0,0,0.30538572839850087,22.111324302494829,0.037961927334674295,0.04091548346507877
15/11/2021 12:00:00 am,37.594913101537742,0.90732825472813161,0.013323447134247601,0.48429475155306267,0,23.018652557222961,20.838019360823989,0,0.78070375285233673,0,0,0.34179922031181748,23.018652557222961,0.037312998238609243,0.040353524247867797
16/11/2021 12:00:00 am,36.782321786442211,1.4562136782088793,0.018262329494607599,0.62536003361874803,0,24.47486623543184,22.154492471371878,0,0.7030537835755073,0,0,0.40093263451791961,24.47486623543184,0.036351444253298899,0.039520838322444407
