Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
15/08/2022 12:00:00 am,40.47817488374973,0.32083919677694084,0.037267048528963898,0.38505638561201244,0,14.628264817408862,3.6353164478267566,0,0.95606228436147056,0,0,0.9974169809925103,14.628264817408862
16/08/2022 12:00:00 am,40.569465290707384,0.31244306517418963,0.036237380672151431,0.36749609145969375,0,14.940707882583052,3.7129626641083622,0,0.94545795409785371,0,0,0.9976370973065205,14.940707882583052
17/08/2022 12:00:00 am,40.687857159063078,0.64997158744711392,0.056729098209686413,0.71163435759311788,0,15.590679470030166,3.8744891631128491,0,0.94848923548484132,0,0,0.99802685738063213,15.590679470030166
18/08/2022 12:00:00 am,40.787684333580934,0.65852407391430567,0.054935163082667771,0.7034160853494964,0,16.249203543944471,4.0381410676327594,0,0.99394533039474642,0,0,0.99834558765391423,16.249203543944471
19/08/2022 12:00:00 am,40.862538842361133,0.67955420206518724,0.0541303135657909,0.70027839727959129,0,16.928757746009659,4.2070192359454754,0,0.9787939425798583,0,0,0.99861194451006918,16.928757746009659
20/08/2022 12:00:00 am,40.902198377844883,0.62486578149244565,0.048594894247838027,0.61593042272836029,0,17.553623527502104,4.3623066115500126,0,0.98333966416279395,0,0,0.99881270624016527,17.553623527502104
21/08/2022 12:00:00 am,40.922299068948618,0.65005695899677463,0.048425741315687887,0.62173190878482487,0,18.203680486498879,4.5238543265088538,0,0.96515815317826814,0,0,0.99898586371577958,18.203680486498879
22/08/2022 12:00:00 am,40.921465262500703,0.62245386826023363,0.045346818353678486,0.57627324345863962,0,18.826134354759112,4.6785423099125243,0,0.96818882610158674,0,0,0.99912415165790791,18.826134354759112
23/08/2022 12:00:00 am,40.910183542625809,0.53622991684296295,0.039926704608925334,0.48502149235914771,0,19.362364271602075,4.8118025058994105,0,0.95758302677165641,0,0,0.99922559894695528,19.362364271602075
24/08/2022 12:00:00 am,40.866584112145816,0.58313575439432341,0.041101435519285801,0.49843488839503941,0,19.945500025996399,4.9567194202242533,0,0.93485640910348811,0,0,0.99932049369850917,19.945500025996399
25/08/2022 12:00:00 am,40.764356524520821,0.79663271693419446,0.050422983136071409,0.64398214617312532,0,20.742132742930593,5.1546931412975345,0,0.90455473189633706,0,0,0.99942879819536723,20.742132742930593
26/08/2022 12:00:00 am,40.631053137002873,0.62338223590072772,0.040525685595014238,0.51988625340169881,0,21.365514978831321,5.3096118362856091,0.070333090613934446,1,0.30065052155963201,0,0.99949949848031161,21.365514978831321
27/08/2022 12:00:00 am,40.600604361836183,0.45301728443555334,0.033202523000777973,0.38936598626809005,0,21.818532263266874,5.4221925972859468,0,0.99090909090909096,0,0,0.99954444258371333,21.818532263266874
28/08/2022 12:00:00 am,40.539844412341907,0.53250052522350799,0.035417493179007664,0.43632308255022717,0,22.351032788490382,5.5545259903427668,0,0.97575763204772947,0,0,0.99959133348456652,22.351032788490382
29/08/2022 12:00:00 am,40.478266552281823,0.51139052684178665,0.034042533341043679,0.41577013344065861,0,22.862423315332169,5.6816132708025995,0,0.96515166628929239,0,0,0.99963110963670698,22.862423315332169
30/08/2022 12:00:00 am,40.384170053809157,0.56675317416045701,0.035310043148271575,0.43734663253951228,0,23.429176489492626,5.822458898195916,0,0.94545492310827506,0,0,0.99966999740200579,23.429176489492626
31/08/2022 12:00:00 am,40.259103624889164,0.59944034993433348,0.035735515664100603,0.4386384053502394,0,24.028616839426959,5.9714277192288749,0,0.92272801482888445,0,0,0.99970601000629189,24.028616839426959
1/09/2022 12:00:00 am,80.022914848301056,0.91951410037562198,0.047151372918538215,0.63617395086898632,40,24.948130939802581,6.1999390823213725,0,0.89848605382061408,0,0,0.99975271233411411,24.948130939802581
2/09/2022 12:00:00 am,79.688900863460574,1.1850391751597869,0.057674135803232218,0.79335105451606003,0,26.133170114962368,6.4944369232170711,0,0.86363827390092229,0,0,0.99980073288241644,26.133170114962368
3/09/2022 12:00:00 am,79.372261909573069,0.90829698916683199,0.043137981432309402,0.54852005384700819,0,27.0414671041292,6.720160686455217,0,0.84697199293472092,0,0,0.99983028941786412,27.0414671041292
4/09/2022 12:00:00 am,78.996497669229868,0.95995308900695875,0.043690605999479715,0.54049824266428359,0,28.001420193136159,6.9587216707666331,0,0.81060915698498914,0,0,0.99985616108581699,28.001420193136159
5/09/2022 12:00:00 am,78.558627754668876,1.0096110188665826,0.044083217081208659,0.52765788722437534,0,29.011031212002742,7.2096233045971125,0,0.771216123380286,0,0,0.9998785943870645,29.011031212002742
