Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
15/03/2020 12:00:00 am,0,0.11711830116706778,0,0.80096576478813963,0,273.13713475271794,241.31193723351524,0,0.90000000000000002,0,0,0,273.13713475271794
16/03/2020 12:00:00 am,49.891139458772358,0,-0.82867119348453222,0.71981065225688723,0,0,0,0,0.86863636363636365,0,0,0,0
17/03/2020 12:00:00 am,49.789275518241851,0,-0.78889639493269315,0.68703245440218796,0,0,0,0,0.82915289256198343,0,0,0,0
18/03/2020 12:00:00 am,49.664718021072154,0,-0.44653226025066006,0.3219747630809634,0,0,0,0,0.81134394565489598,0,0,0,0
19/03/2020 12:00:00 am,49.563814608707467,0,-0.57578414586484516,0.47488073350016063,0,0,0,0,0.77938191143212732,0,0,0,0
20/03/2020 12:00:00 am,49.490782810490735,0,-0.88756795106281983,0.81453615284609027,0,0,0,0,0.73687017080855677,0,0,0,0
21/03/2020 12:00:00 am,49.419206369202648,0,-0.51973075454610385,0.44815431325801752,0,0,0,0,0.72458900129508086,0,0,0,0
22/03/2020 12:00:00 am,49.356413964009164,0,-0.50936679509875926,0.44657438990527443,0,0,0,0,0.69714244821572169,0,0,0,0
23/03/2020 12:00:00 am,49.339229563310091,0,-0.77453128995893028,0.75734688925985505,0,0,0,0,0.66228532580493571,0,0,0,0
24/03/2020 12:00:00 am,49.310494609630013,0,-0.43115359889830973,0.40241864521823295,0,0,0,0,0.66854508372289312,0,0,0,0
25/03/2020 12:00:00 am,49.267043837632151,0,-0.34340436039378108,0.29995358839592495,0,0,0,0,0.65132498308154585,0,0,0,0
26/03/2020 12:00:00 am,49.261970620329564,0,-0.43561296069907662,0.43053974339648959,0,0,0,0,0.62467987013730086,0,0,0,0
27/03/2020 12:00:00 am,49.32164852001803,0,-0.54099733329414335,0.60067523298260816,0,0,0,0,0.62147423947975278,0,0,0,0
28/03/2020 12:00:00 am,49.349697416749152,0,-0.36163376082200749,0.38968265755313286,0,0,0,0,0.62303212748605885,0,0,0,0
29/03/2020 12:00:00 am,49.391484857726866,0,-0.342687687101634,0.38447512807935486,0,0,0,0,0.62004953045609379,0,0,0,0
30/03/2020 12:00:00 am,49.589728842647304,0,-0.3246760434415954,0.52292002836203655,0,0,0,0,0.86101862705662591,0,0,0,0
31/03/2020 12:00:00 am,49.466990797347819,0,-0.36289190278670347,0.73527159459162061,0,0,0,0.49511773710440948,1,1.7384144840920044,0,0,0
1/04/2020 12:00:00 am,49.899627996119214,0,-0.36556923171549194,0.79820643048688689,0,0,0,0,0.98939393939393938,0,0,0,0
2/04/2020 12:00:00 am,50.334057999177872,0,-0.33357041469781734,0.76800041775647288,0,0,0,0,0.9654086317722681,0,0,0,0
3/04/2020 12:00:00 am,50.700806345915268,0,-0.28194814737270946,0.64869649411010699,0,0,0,0,0.93907930545120621,0,0,0,0
4/04/2020 12:00:00 am,51.150668759097059,0,-0.30946377973969419,0.75932619292148529,0,0,0,0,0.91062235680116965,0,0,0,0
5/04/2020 12:00:00 am,51.610566014272877,0,-0.29885602171216163,0.75875327688798289,0,0,0,0,0.88026827824113063,0,0,0,0
6/04/2020 12:00:00 am,52.093773385499418,0,-0.2973944577837635,0.78060182901030006,0,0,0,0,0.84158982359114154,0,0,0,0
7/04/2020 12:00:00 am,52.581610905833045,0,-0.27969321413479165,0.76753073446841624,0,0,0,0,0.81608710166413723,0,0,0,0
8/04/2020 12:00:00 am,53.120858315898857,0,-0.28880927432389214,0.82805668438970792,0,0,0,0,0.77528274658093033,0,0,0,0
9/04/2020 12:00:00 am,53.571900738131866,0,-0.23433727102227664,0.68537969325528458,0,0,0,0,0.73886795090818969,0,0,0,0
10/04/2020 12:00:00 am,53.830817471037619,0,-0.14899167683472214,0.40790840974047854,0,0,0,0,0.71871700679251171,0,0,0,0
11/04/2020 12:00:00 am,54.295650714969085,0,-0.21245946190344966,0.67729270583491819,0,0,0,0,0.69367080807095449,0,0,0,0
12/04/2020 12:00:00 am,54.66394887682565,0,-0.16458974104389235,0.53288790290045518,0,0,0,0,0.66844641505019253,0,0,0,0
13/04/2020 12:00:00 am,55.120653741973065,0,-0.18225845931557139,0.63896332446298387,0,0,0,0,0.63806248709336555,0,0,0,0
14/04/2020 12:00:00 am,55.360706373863664,0,-0.10661151557873083,0.34666414746933627,0,0,0,0,0.61486021483542497,0,0,0,0
15/04/2020 12:00:00 am,55.564381531767594,0,-0.092368133059753887,0.29604329096368948,0,0,0,0,0.58691202325199654,0,0,0,0
16/04/2020 12:00:00 am,55.760859745055811,0,-0.08560655094781211,0.28208476423602663,0,0,0,0,0.57001607106746932,0,0,0,0
17/04/2020 12:00:00 am,56.018118701465781,0,-0.095039956913591794,0.35229891332355634,0,0,0,0,0.55447017822017475,0,0,0,0
18/04/2020 12:00:00 am,56.35937525148335,0,-0.091946792089686369,0.43320334210725647,0,0,0,0,0.66728123612592971,0,0,0,0
19/04/2020 12:00:00 am,56.771814305123456,0,-0.097013647208331832,0.50945270084844529,0,0,0,0,0.65413781783860081,0,0,0,0
20/04/2020 12:00:00 am,57.113600183305977,0,-0.078315911594291521,0.42010178977680818,0,0,0,0,0.63035098809901546,0,0,0,0
21/04/2020 12:00:00 am,57.385934629113535,0,-0.062197492838535595,0.33453193864609121,0,0,0,0,0.61411467476919235,0,0,0,0
22/04/2020 12:00:00 am,57.753564395804887,0,-0.070603572321100927,0.43823333901245387,0,0,0,0,0.59736609273003261,0,0,0,0
