UniqueName,Index,EndUse,Group,Colloquial Name,Type,Family,Genus,Specific epithet,Sub species,Species name,Epithet and sub species,Typical Establish Stage,Typical Establish month,Typical Harvest Stage,Typical Harvest month,Typical Yield,Typical Yield Units,Yield type,Typical Population (/ha),TotalOrDry,Typical Dressing Loss %,Typical Field Loss %,Typical HI,HI Range,Moisture %,P Root,Max RD,A cover,rCover,Root [N],Stover [N],Product [N],TtEmerg,Tbase
GroundStore Potato Innovator,91,Potato,Potato,GroundStore,Innovator,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.6,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Long (Group3),109,Potato,Potato,GroundStore,Long (Group3),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Medium (Group2),106,Potato,Potato,GroundStore,Medium (Group2),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,60,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Moonlight,94,Potato,Potato,GroundStore,Moonlight,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Nadine,97,Potato,Potato,GroundStore,Nadine,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato RussetBurbank,100,Potato,Potato,GroundStore,RussetBurbank,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Short (Group1),103,Potato,Potato,GroundStore,Short (Group1),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,50,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.6,1,1.2,0.9,1.15,1.8,0,5
GroundStore Potato Very Long (Group4),112,Potato,Potato,GroundStore,Very Long (Group4),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Late,June,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.9,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Agria,87,Potato,Potato,Maturity harvest,Agria,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,60,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Innovator,90,Potato,Potato,Maturity harvest,Innovator,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.6,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Long (Group3),108,Potato,Potato,Maturity harvest,Long (Group3),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Medium (Group2),105,Potato,Potato,Maturity harvest,Medium (Group2),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,60,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Moonlight,93,Potato,Potato,Maturity harvest,Moonlight,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Nadine,96,Potato,Potato,Maturity harvest,Nadine,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato RussetBurbank,99,Potato,Potato,Maturity harvest,RussetBurbank,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Short (Group1),102,Potato,Potato,Maturity harvest,Short (Group1),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,50,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.6,1,1.2,0.9,1.15,1.8,0,5
