Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
28/04/2023 12:00:00 am,168.41768101699355,0,5.9354837447722986,0.82575606868770324,0,0,0,1.5925906516785808,1,1.6423919885256879,0,0,0
29/04/2023 12:00:00 am,171.56713693920798,0,5.2961833110929746,0.8068268685506732,0,0,0,2.9535542574292086,1,2.9899999999999949,0,0,0
30/04/2023 12:00:00 am,173.6683025374372,0,4.6034197962597148,0.75744721383884206,0,0,0,3.2597014118693424,1,3.2599999999999909,0,0,0
1/05/2023 12:00:00 am,176.44295971110824,0,3.983476460832776,0.70104208280216929,0,1.3870925804136798,1.2689328420821442,1.9098613699638844,1,1.8800000000000097,0,0.0080099479191002299,1.3870925804136798
2/05/2023 12:00:00 am,180.51429447709799,0.092408819708446277,3.5289351514914813,0.66598817598002324,0,1.4795014001221261,1.3534697993709821,0.031179741773318111,1,0.030000000000001137,0,0.0094094764556838344,1.4795014001221261
3/05/2023 12:00:00 am,183.09968345119719,0.09902947266171136,3.2503241832851018,0.66752031290613922,0,1.5785308727838374,1.4440634280652143,1.2334260494303395,1,1.1700000000000017,0,0.011059805368440775,1.5785308727838374
4/05/2023 12:00:00 am,186.4060375524524,0.10904223173199723,3.0172764544526984,0.67716406808269336,0,1.6875731045158346,1.5438168770941154,0.27904418954820692,1,0.25999999999999091,0,0.013062014874413276,1.6875731045158346
5/05/2023 12:00:00 am,189.88879885822701,0.13322453874940221,2.8941158925346997,0.72186995198929582,0,1.8207976432652369,1.6656926588389389,0,0.98878787878787866,0,0,0.015778571444212196,1.8207976432652369
6/05/2023 12:00:00 am,190.87181829106711,0.15759113845959849,2.7372369983410039,0.75744721383884206,0,1.9783887817248353,1.8098593669853125,2.3540736408801188,1,2.1420942363192665,0,0.019386244383363553,1.9783887817248353
7/05/2023 12:00:00 am,193.26009910821617,0.16379170111220764,2.457209194715162,0.7402349272347919,0,2.142180482837043,1.9596984417064798,0.64537160368864721,1,0.57999999999999829,0,0.023600238329630634,2.142180482837043
8/05/2023 12:00:00 am,194.83364862310796,0.17718733263736741,2.244448361574058,0.7402349272347919,0,2.3193678154744104,2.1217920386006646,1.2339464412796772,1,1.0999999999999943,0,0.028703417411494,2.3193678154744104
9/05/2023 12:00:00 am,197.4408447694249,0.19342354646304427,2.0568194885293707,0.74380020425059223,0,2.5127913619374547,2.2987387644390793,0,0.99560606060606072,0,0,0.034930902415741656,2.5127913619374547
10/05/2023 12:00:00 am,197.90916004552386,0.20587045272489091,1.8668267372796379,0.73739050694971675,0,2.7186618146623456,2.4870721045244419,1.9300315154054997,1,1.6937871898754224,0,0.04231980161584676,2.7186618146623456
11/05/2023 12:00:00 am,198.1638342781747,0.20471286047328574,1.6575126182665656,0.70724976626560043,0,2.9233746751356313,2.674346462068522,1.9053752914080273,1,1.6700000000000017,0,0.050446966565510662,2.9233746751356313
