Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
15/08/2022 12:00:00 am,0,0.049625248767512176,0,0.48822562896261634,0,124.31311847296742,56.505962942257916,0,1,0,0,0
16/08/2022 12:00:00 am,47.938311680651069,0,-2.4912000201847415,0.47091297001456262,0,0,0,0.041401269178745682,1,0.15000000000000568,0,0
17/08/2022 12:00:00 am,45.374371259582908,0,-2.6808875485603143,0.51926655266045318,0,0,0,0.40231942516830338,1,1.5400000000000063,0,0
18/08/2022 12:00:00 am,42.597750151135671,0,-2.6941450214756983,0.53557854249403125,0,0,0,0.61805462946556755,1,2.519999999999996,0,0
19/08/2022 12:00:00 am,40.451369974100935,0,-2.5238841037653561,0.51491600473355159,0,0,0,0.13741207800293154,1,0.59000000000000341,0,0
20/08/2022 12:00:00 am,38.421749962604871,0,-2.4745266499834138,0.51790796341629386,0,0,0,0.073001324928948869,1,0.32999999999999829,0,0
21/08/2022 12:00:00 am,36.516411311013549,0,-2.426420286442486,0.52108163485116699,0,0,0,0,0.9922727272727272,0,0,0
22/08/2022 12:00:00 am,34.649882240210431,0,-2.3713355616006861,0.5226163393605946,0,0,0,0.017809848563026313,1,0.089272727272728503,0,0
23/08/2022 12:00:00 am,32.817252071387124,0,-2.3685556742254299,0.53592550540212569,0,0,0,0,0.98045454545454536,0,0,0
24/08/2022 12:00:00 am,30.955668256313722,0,-2.4256840272204343,0.56410021214703365,0,0,0,0,0.9791728650137741,0,0,0
25/08/2022 12:00:00 am,29.052861327525967,0,-2.5017300531767468,0.59892312438899287,0,0,0,0,0.97994923929376399,0,0,0
26/08/2022 12:00:00 am,27.071435600414155,0,-2.5509102615742592,0.62976189760149126,0,0,0,0.060277363139045158,1,0.38672593444778158,0,0
27/08/2022 12:00:00 am,25.262160793588681,0,-2.4237484161420824,0.61738258540799273,0,0,0,0.0029089760913823606,1,0.019999999999996021,0,0
28/08/2022 12:00:00 am,23.593250462033215,0,-2.2632441042954916,0.59433377274002397,0,0,0,0,0.97772727272727278,0,0,0
29/08/2022 12:00:00 am,21.978036341961776,0,-2.2145103551677039,0.59929623509626473,0,0,0,0,0.96675206611570252,0,0,0
30/08/2022 12:00:00 am,20.415463082246372,0,-2.167171380480255,0.60459812076485331,0,0,0,0,0.98806338592536946,0,0,0
31/08/2022 12:00:00 am,18.945243601140589,0,-2.0636875660034519,0.59346808489766767,0,0,0,0,0.98409224836645959,0,0,0
1/09/2022 12:00:00 am,17.526225501147788,0,-2.0168227936069769,0.59780469361417476,0,0,0,0,0.97394413818621306,0,0,0
2/09/2022 12:00:00 am,16.098433581063066,0,-2.056783491707769,0.62899157162304642,0,0,0,0,0.97359414653871035,0,0,0
3/09/2022 12:00:00 am,14.737559352307429,0,-1.9889678534541986,0.628093624698561,0,0,0,0,0.97011189080502014,0,0,0
4/09/2022 12:00:00 am,13.495542422398424,0,-1.8424333987316572,0.60041646882265209,0,0,0,0,0.97759368772245903,0,0,0
5/09/2022 12:00:00 am,12.292859231465094,0,-1.775737172922689,0.59674963897415034,0,0,0,0.023695656984792538,1,0.33479285809860926,0,0
6/09/2022 12:00:00 am,11.16659956843735,0,-1.7235677101848381,0.59730804715709496,0,0,0,0,0.98196969696969705,0,0,0
7/09/2022 12:00:00 am,10.103194897758943,0,-1.6547437740381383,0.59133910335973194,0,0,0,0,0.95766758494031223,0,0,0
8/09/2022 12:00:00 am,9.1080963384227136,0,-1.5754604654198658,0.58036190608363714,0,0,0,0,0.93901452541948416,0,0,0
9/09/2022 12:00:00 am,8.1929371549404912,0,-1.4747642673551979,0.55960508387297603,0,0,0,0,0.92588839370413378,0,0,0
10/09/2022 12:00:00 am,7.3635949785579653,0,-1.3604657927044386,0.53112361632191241,0,0,0,0,0.91397022539099082,0,0,0
11/09/2022 12:00:00 am,6.5448200524217155,0,-1.3682364848345898,0.54946155869833968,0,0,0,0,0.9070105667043078,0,0,0
12/09/2022 12:00:00 am,5.7507675556026605,0,-1.3537336405211349,0.55968114370207978,0,0,0,0,0.88391933741023787,0,0,0
13/09/2022 12:00:00 am,4.9616337727372146,0,-1.3749971560368124,0.58586337317136683,0,0,0,0,0.8770067524320333,0,0,0
14/09/2022 12:00:00 am,4.2010949508580344,0,-1.357116849904564,0.59657802802538418,0,0,0,0,0.87539595198323239,0,0,0
15/09/2022 12:00:00 am,3.4994480435678272,0,-1.2839824654678367,0.58233555817762961,0,0,0,0,0.85265428100202401,0,0,0
16/09/2022 12:00:00 am,2.8146295788059597,0,-1.2873808253966743,0.6025623606348065,0,0,0,0,0.83361836775346554,0,0,0
17/09/2022 12:00:00 am,2.1790464862682306,0,-1.2299523752304538,0.59436928269272471,0,0,0,0,0.80431334609119731,0,0,0
18/09/2022 12:00:00 am,1.6124711351339764,0,-1.1296863871580172,0.563111036023763,0,0,0,0,0.82264134562727509,0,0,0
19/09/2022 12:00:00 am,1.1140777431143887,0,-1.0239761269428556,0.52558273492326768,0,0,0,0,0.83138348870770207,0,0,0
20/09/2022 12:00:00 am,0.64460480522479724,0,-0.9947307230100364,0.52525778512044496,0,0,0,0,0.82583946861245694,0,0,0
21/09/2022 12:00:00 am,0.20847598913848686,0,-0.95471012979685099,0.51858131371054061,0,0,0,0,0.808350637035394,0,0,0
22/09/2022 12:00:00 am,-0.20785199783772734,0,-0.94372920507242952,0.52740121809621532,0,0,0,0,0.78929705616002532,0,0,0
