DOY,MeanT,Rain,MeanPET
231,8.378,5.38,1.3
232,8.493,6.44,1.1
233,8.695,8.86,1.2
234,8.537,9.31,1.1
235,8.443,5.46,1.1
236,8.565,8.23,1
237,9.037,6.84,1.1
238,9.46,7.77,1.2
239,9.45,9.24,1.2
240,9.11,8.62,1.1
241,8.987,5.34,1
242,8.985,5.11,1.3
243,9.145,4.3,1.3
244,9.503,5.55,1.6
245,9.782,9.01,1.5
246,9.695,11.68,1.2
247,9.548,9.88,1.4
248,9.665,8.34,1.4
249,9.667,11.88,1.4
250,9.527,11.61,1.4
251,9.213,9.61,1.4
252,9.017,6.07,1.6
253,9.243,5.94,1.5
254,9.452,7.44,1.4
255,9.617,6.21,1.3
256,9.993,7.49,1.4
257,9.993,8.54,1.4
258,10.08,6.83,1.3
259,10.34,10.84,1.5
260,10.21,7.91,1.4
261,9.903,7.1,1.4
262,9.753,6.04,1.6
263,9.847,9.03,2.1
264,9.897,5.98,1.8
265,9.935,6.95,1.8
266,9.992,7.02,2
267,10.29,4.27,1.7
268,10.58,7.02,2
269,10.45,8.86,1.9
270,10.42,8.89,1.7
271,10.52,9.21,1.6
272,10.46,8.59,2.1
273,10.57,8.24,2
274,10.82,8.75,2
275,11.14,8.85,1.6
276,11.26,9.39,1.7
277,11.08,7.54,1.8
278,10.87,13.02,1.9
279,10.68,8.86,2.4
280,10.62,11.68,2.2
281,10.77,9.19,2.2
282,10.95,12.31,1.9
283,10.78,5.51,2.2
284,10.82,10.29,2.1
285,11.3,11.19,2.3
286,11.42,11.79,2.4
287,11.06,9.04,2.5
288,10.75,7.59,2.2
289,10.82,9.06,2.7
290,10.99,8.75,2.2
291,11.37,9.84,1.7
292,11.39,10.72,2.4
293,11.06,8.15,2.5
294,11.09,9.17,2.3
295,11.06,11.18,2.3
296,10.95,4.05,2.9
297,11.13,5.43,2.5
298,11.47,7.61,2.4
299,11.74,6.56,2.3
300,12.03,10.93,2.9
301,12.23,8.56,2.8
302,12.48,11.79,2.4
303,12.48,15.98,2.5
304,12.6,8.56,2.9
305,12.67,7.16,3.2
306,12.36,5.97,2.8
307,12.31,7.29,2.8
308,12.09,7.66,3
309,12.11,8.3,2.3
310,12.14,6.53,2.7
311,12.21,5.49,3.3
312,12.45,12.37,3.5
313,12.35,5.17,2.8
