DOY,MeanT,Rain,MeanPET
1,18.55,1.24,5.6
2,19.02,1.63,5.5
3,19.5,1.01,5.8
4,19.07,1.15,5.8
5,18.59,0.28,5.6
6,18.99,0.33,5.8
7,19.52,3.11,5.6
8,19.86,3.13,5.8
9,19.57,1.61,5.4
10,19.15,4.33,5.2
11,18.84,3.53,5.1
12,18.91,0.95,5.1
13,18.87,1.81,5.3
14,18.73,0.68,5.3
15,19.07,2.28,5.7
16,18.95,1.57,5.5
17,18.93,3.79,5.6
18,19.46,1.61,5.7
19,19.85,2.36,5.7
20,19.41,1.54,5.5
21,19.03,2.58,5
22,19.66,5.83,5.7
23,19.88,4.09,5.5
24,19.74,0.94,5
25,19.43,2.53,5
26,18.71,2.67,4.5
27,18.48,4.7,4.7
28,18.67,4.93,5
29,18.91,0.11,5.1
30,19.49,0.96,5.3
31,20.27,2.99,5.5
32,20.36,1.57,5
33,19.94,0.9,4.5
34,19.49,1.08,4.8
35,19.58,1.11,4.8
36,19.6,1.23,5.1
37,18.98,4.09,4.5
38,18.68,4.09,4.8
39,18.54,2.93,4.3
40,18.89,1.28,4.9
41,19.51,2.08,4.2
42,19.55,3.59,3.9
43,19.55,4.19,4.8
44,19.57,7.03,4.5
45,19.32,1.29,4.5
46,18.81,2.21,4.5
47,18.37,2.29,4.1
48,18.6,2.16,4.5
49,19.05,1.91,4.4
50,19.15,3.09,4.5
51,19.17,2.17,4.4
52,19.65,0.44,4.9
53,19.67,2.35,4.7
54,18.83,2.01,4
55,17.88,3.29,4.1
56,17.68,0.57,4.2
57,18.02,0.78,3.9
58,18.45,2.99,4.1
59,18.55,1.87,4.1
60,18.55,1.87,4.1
61,18.51,0.85,4.1
62,18.59,1.41,4
63,18.18,1.97,4
64,17.47,1.78,3.8
65,17.18,1.31,3.8
66,17.67,2.56,3.6
67,18.21,1.57,3.9
68,18.04,2.17,3.6
69,17.63,0.93,3.6
70,17.67,2.08,4
71,17.35,3.09,3.1
72,16.71,3.09,3.1
73,16.54,1.17,3.3
74,16.71,1.48,3.4
75,17.35,2.42,3.5
76,17.64,1.86,3.3
77,17.08,3.25,3
78,17.13,0.71,3.5
79,17.49,2.21,3.8
80,17.4,1.57,3.6
81,17.6,3.06,3.3
82,17.66,3.77,3.1
83,16.96,5.27,3.1
84,16.41,2.49,2.7
85,16.62,1.43,3
86,16.8,2.21,2.9
87,17.05,1.32,2.8
88,17.22,1.88,2.7
89,17.31,1.45,3
90,17.1,1.78,2.8
91,16.67,2.83,2.7
92,16.61,0.91,2.6
93,16.5,1.75,2.5
94,16.34,2.12,2.8
95,16.53,5.57,2.8
96,16.3,2.15,2.6
97,15.91,2.89,2.4
98,15.55,2.4,2.2
99,15.19,4.38,2.1
100,14.98,4,2
101,14.88,4.61,2.2
102,15.02,2.47,2.1
103,15.4,2.82,2.2
104,15.26,2.56,2.1
105,14.59,0.91,2.2
106,14.48,2.47,2.1
107,14.85,2.36,2
108,15.04,2.23,2.1
109,14.69,0.63,1.9
110,14.19,0.32,1.9
111,14.32,1.98,2
112,14.48,1.79,1.8
113,14.17,2.21,1.7
114,14.09,1.21,1.7
115,14.01,1.13,1.9
116,13.72,2.49,1.7
117,13.54,5.29,1.8
118,14.06,3.21,1.8
119,14.45,1.92,1.8
120,13.89,3.69,1.7
121,13.65,3.26,1.8
122,13.71,1.53,1.6
123,13.86,2.71,1.6
124,14.12,4.45,1.7
125,13.81,1.8,1.8
126,13.35,0.92,1.5
127,13.03,0.75,1.5
128,12.9,0.68,1.6
129,13.13,0.87,1.5
130,13.08,2.85,1.4
131,13.04,1.01,1.4
132,13.29,1.92,1.5
133,13.26,3.47,1.4
134,12.82,1.05,1.5
135,12.78,1.36,1.6
136,12.93,0.91,1.6
137,12.92,1.87,1.9
138,12.14,1.46,1.5
139,11.72,1.44,1.3
140,12.13,0.76,1.4
141,12.16,1.25,1.4
142,11.99,1.21,1.4
143,11.8,2.76,1.1
144,11.72,4.91,1.2
145,11.95,4.38,1.3
146,11.99,2.7,1.2
147,11.88,1.97,1.2
148,11.91,1.32,1.4
149,11.54,2.82,1.4
150,10.84,2.47,1.3
151,10.8,2.47,1.2
152,10.88,0.99,1.3
153,11.09,3.69,1.3
154,11.05,4.61,1.2
155,10.4,2.84,1
156,10.08,2.76,1
157,9.96,2.4,1
158,9.892,1.9,0.9
159,10.05,0.79,1.2
160,9.932,0.8,1.1
161,10.55,1.59,1
162,11.01,3.88,1
163,11,4.1,1.1
164,11.14,3.69,1.2
165,10.7,3.25,1.1
166,10.25,1.39,1.2
167,10.19,0.77,1.1
168,10.03,2.37,1
169,10.03,1.79,0.9
170,10.17,3.67,0.9
171,10.17,1.81,1
172,9.782,4.09,0.9
173,9.772,2.14,1
174,9.812,3.86,0.9
175,9.516,1.94,0.9
176,9.707,1.51,1.2
177,10,1.82,1.1
178,10.14,2.03,1.3
179,9.738,1.12,1
180,9.367,5.36,1.1
181,9.247,3.97,1
182,9.23,4.74,1
183,9.265,3.69,1
184,9.182,1.61,1.1
185,9.055,4.71,1.1
186,8.893,4.08,0.8
187,9.087,5.13,0.9
188,9.323,3.93,1
189,9.553,2.77,1.2
190,9.64,2.1,1.1
191,9.217,1.73,1.2
192,8.923,2.96,1
193,9.187,4.04,1
194,9.183,2.37,1
195,8.832,2.06,1
196,8.943,6.79,0.9
197,9.293,1.77,0.9
198,9.512,5.65,1
199,9.475,6.58,0.9
200,9.425,3.17,1
201,9.477,3.87,1
202,9.53,1.42,1.1
203,9.582,2.57,1.3
204,9.902,3.63,1.2
205,10.29,4.06,1.4
206,10.06,1.99,1.3
207,9.425,3.19,1.2
208,9.302,3.08,1.2
209,9.695,0.73,1.3
210,9.753,0.69,1.3
211,9.393,2.77,1.4
212,9.243,2.73,1.1
213,9.162,0.42,1.3
214,9.615,1.67,1.3
215,10.37,1.62,1.4
216,10.39,3.49,1.3
217,9.875,3.87,1.3
218,9.415,4,1.2
219,9.702,3.43,1.3
220,10.27,1.36,1.4
221,10.25,2.42,1.6
222,9.552,2.72,1.3
223,9.215,0.96,1.5
224,9.715,1.54,1.5
225,9.823,0.69,1.5
226,10.04,0.83,1.7
227,10.16,1.91,1.7
228,9.725,1.9,1.7
229,9.678,1.76,1.7
230,9.872,1.92,1.7
231,10.12,2.77,1.6
232,9.953,2.15,1.6
233,9.863,0.92,1.7
234,10.03,1.49,1.8
235,9.692,3.15,1.7
236,9.488,2.03,1.6
237,9.95,0.93,1.8
238,10.61,0.98,1.9
239,10.77,1.09,1.9
240,10.4,1.52,2
241,10.04,0.93,1.9
242,10.34,1.2,1.9
243,10.54,1.65,1.8
244,10.14,1.81,1.9
245,10.11,2,1.9
246,10.87,2.02,2.1
247,10.99,1.1,2
248,10.99,3.17,2.1
249,11.47,5.75,2.1
250,11.52,2.08,2.4
251,11.16,1.3,2.2
252,10.76,1.63,2.3
253,10.75,2.87,2.3
254,10.99,3.42,2.4
255,11.18,0.79,2.3
256,11.19,1.24,2.4
257,11.78,1.51,2.7
258,12.24,0.7,2.8
259,12.46,0.27,2.8
260,12.98,2.76,2.9
261,13.01,0.88,3.1
262,12.5,2.11,2.6
263,11.99,2.16,2.6
264,11.79,2.81,2.9
265,11.8,2.21,2.8
266,11.94,2.29,2.8
267,12.36,2.59,2.8
268,12.78,3.65,2.7
269,12.65,3.11,2.7
270,12.81,0.47,3.2
271,13.22,1.75,3.2
272,12.64,2.35,3
273,12.38,1.55,3.1
274,12.9,2.25,2.8
275,12.98,1.69,3
276,13.1,0.88,3.2
277,13.17,1.17,3.5
278,13.07,2.42,3.6
279,13.16,2.09,3.5
280,13.09,0.39,3.6
281,13.31,0.98,3.7
282,13.76,2.27,3.4
283,13.26,2.64,3.1
284,12.92,2.97,3.4
285,13.36,1.74,3.3
286,13.84,2.35,3.6
287,14.05,5.39,4
288,13.47,2.67,3.9
289,13.19,3.03,3.6
290,13.61,0.55,4.3
291,14.13,2.61,4.2
292,14.16,1.23,4.2
293,13.88,1.81,4.1
294,13.91,2.11,4.2
295,14.31,4.77,4.2
296,13.84,1.64,4.1
297,12.94,1.15,3.5
298,13.43,1.25,3.9
299,14.15,0.38,4.2
300,14.18,0.88,4.3
301,14.58,1.6,3.5
302,15.36,1.5,3.9
303,15.37,1.93,4.1
304,14.92,1.05,4.3
305,14.83,1.13,4.5
306,14.45,2.17,4.2
307,14.33,0.58,4.4
308,14.62,2.42,4.1
309,15.13,3.9,4.5
310,15.46,2.37,4.6
311,14.76,1.33,3.9
312,14.96,1.59,4.3
313,15.2,1.16,4.8
314,14.86,5.63,4.2
315,14.93,1.36,4.2
316,15.37,1.45,4.7
317,15.48,1.43,4.6
318,15.27,0.95,4.6
319,15.44,1.01,5
320,15.9,0.41,5.3
321,16.49,1.29,5.6
322,16.57,1.39,5.2
323,15.71,0.98,5.1
324,15.08,1.45,5.1
325,15.51,1.23,5.1
326,16.16,2.07,4.8
327,16.01,1.35,4.7
328,15.83,0.67,5.2
329,16.17,1.47,4.9
