DOY,MeanT,Rain,MeanPET
1,16.07,1.81,4.9
2,16.07,4.28,4.4
3,15.48,2.37,4.6
4,15.29,1.63,4.4
5,15.49,1.62,4.3
6,15.07,2.92,3.9
7,14.47,2.2,4
8,14.88,1.42,4.6
9,15.53,2.5,4.3
10,15.05,0.9,3.7
11,15.18,2.06,3.7
12,15.36,3.16,4
13,14.69,2.89,4.1
14,15.08,0.77,4.5
15,16.05,0.97,4.9
16,16.92,1.6,5.1
17,16.37,1.81,4.3
18,15.5,1.53,4
19,14.92,1.92,4
20,14.57,0.37,4.2
21,15.12,1.25,4.1
22,15.99,1.46,4.5
23,16.17,1.24,4.4
24,15.99,0.29,4.4
25,15.86,0.85,3.9
26,16.07,2.12,4.2
27,15.72,0.83,4.2
28,15.65,0.45,4.1
29,16.49,0.77,4.4
30,16.98,0.83,4.3
31,17.49,2.09,4.7
32,16.72,2.96,4
33,15.83,0.71,4.1
34,16.25,1.92,4
35,16.31,4.1,3.9
36,15.33,0.38,3.9
37,14.91,2.06,4.3
38,15,0.77,3.9
39,15.55,0.93,4.2
40,16.03,1.1,3.5
41,15.91,0.57,3.8
42,15.87,3.76,3.6
43,15.19,1.81,3.3
44,14.65,1.22,3.5
45,14.28,1.97,3.3
46,14.24,1.1,3.6
47,14.39,0.09,3.7
48,14.94,1.99,3.8
49,16.07,1.4,3.8
50,15.8,1.16,3.5
51,15.62,3.36,3.6
52,15.99,5.1,3.5
53,15.1,3.4,3
54,14.07,1.52,3.2
55,14.28,1.1,3.5
56,14.49,0.88,3.3
57,14.52,0.03,3.7
58,14.87,1.17,3.3
59,14.94,1.25,3.1
60,14.94,1.25,3.1
61,14.49,1.42,3.1
62,14.73,0.88,3.2
63,14.23,0.28,3.6
64,13.89,0.6,3.3
65,14.53,0.67,3
66,14.79,1.77,3.1
67,14,2.11,2.7
68,13.59,2.03,3
69,13.68,0.84,2.8
70,13.82,1.99,2.8
71,13.22,1.21,2.4
72,12.87,2.15,2.8
73,13.13,0.23,2.6
74,13.31,1.45,2.7
75,13.45,0.99,2.6
76,13.02,0.37,2.5
77,12.56,1.94,2.3
78,12.51,0.6,2.5
79,13.25,0.09,2.7
80,13.64,0.9,2.7
81,13.38,2.22,2.1
82,13.14,0.03,2.2
83,13.56,0.11,2.6
84,13.87,1,2.3
85,13.36,1.32,2.1
86,13.83,1.49,2.4
87,14.06,0.9,2.3
88,13.14,0.65,2.2
89,12.7,0.56,2.1
90,12.72,0.06,2
91,12.39,1.26,2
92,11.86,0.56,1.9
93,11.94,0.5,2
94,12.26,2.33,1.9
95,11.97,1.34,2
96,11.41,1.09,1.8
97,10.89,1.48,1.8
98,9.902,0.74,1.5
99,9.343,0.17,1.7
100,9.983,0.09,1.7
101,10.34,1.52,1.6
102,10.65,2.5,1.7
103,10.41,1.04,1.4
104,9.518,1.1,1.4
105,9.648,0.46,1.5
106,10.59,0.51,1.5
107,11.17,0.37,1.3
108,10.11,1.2,1.3
109,9.198,0.07,1.2
110,10.22,0.12,1.4
111,10.67,0.57,1.4
112,10.39,0.39,1.2
113,10.27,0.21,1.2
114,10.58,1.3,1.3
115,10.36,0.57,1.2
116,10.09,3.07,1.4
117,10.62,1.03,1.3
118,10.26,3.14,1.1
119,9.382,2.46,1.3
120,9.159,2.39,1
121,8.702,0.72,1.1
122,7.977,0.41,1.1
123,7.834,0.96,1
124,7.955,0.58,1
125,8.578,1.14,1.2
126,8.822,1.52,0.9
127,9.03,0.44,1.1
128,9.364,3.37,1
129,9.125,0.68,0.9
130,9.07,0.97,1
131,9.014,0.78,0.9
132,8.607,1.72,0.9
133,8.073,2.49,0.8
134,7.727,0.77,0.8
135,7.486,0.63,0.8
136,7.084,0.23,0.7
137,7.077,0.67,0.8
138,7.139,1.6,0.7
139,6.92,1.25,0.8
