Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand
20/07/2022 12:00:00 am,0,6.1900292896045244,0,0.27890830530289074,0,384.84787394957959,35.599479999999964,0,0.94999999999999996,0,0,0.99999999997015498,384.84787394957959
21/07/2022 12:00:00 am,37.749787555334031,0,13.024390184508203,0.23161389428365564,0,0,0,1.5062165234578293,1,6.9300000000000068,0,0,0
22/07/2022 12:00:00 am,47.079861699728163,0,9.9685116007039092,0.17476015486734478,0,0,0,0.81319761117712286,1,3,0,0,0
23/07/2022 12:00:00 am,56.581284173823093,0,9.3275695263422804,0.17385294775265334,0,0,0,0,0.98484848484848486,0,0,0,0
24/07/2022 12:00:00 am,66.33481538563322,0,9.5550894539108242,0.19844175789930904,0,0,0,0,0.96544995408631773,0,0,0,0
25/07/2022 12:00:00 am,74.714765752520975,0,9.7252870983894439,0.22514609527864041,0,0,0,1.5704828267803408,1,3.6507920110192771,0,0,0
26/07/2022 12:00:00 am,82.115058084220507,0,11.074065640635979,0.29760950022767418,0,0,0,3.9713828091641226,1,8.4000000000000057,0,0,0
27/07/2022 12:00:00 am,82.066292198044636,0,9.3670830205480442,0.27046042998468744,0,0,0,9.6863093367086019,1,20.5,0,0,0
28/07/2022 12:00:00 am,90.594746037588621,0,8.2709723328915175,0.25748150665247432,0,0,0,0,0.99545454545454548,0,0,0,0
29/07/2022 12:00:00 am,94.213744547401646,0,7.7502455590320807,0.264511920206632,0,0,0,4.3957589694256853,1,8.1036363636363689,0,0,0
30/07/2022 12:00:00 am,100.67469741895087,0,6.240054693259097,0.22089817829013347,0,0,0,0,0.98181818181818181,0,0,0,0
31/07/2022 12:00:00 am,106.53977128542397,0,6.3048970603231993,0.24942749178815626,0,0,0,0.68925068563825553,1,1.1236363636363507,0,0,0
1/08/2022 12:00:00 am,109.05397676159423,0,4.7152324245888337,0.18494187648659877,0,0,0,2.3859688249051807,1,3.7999999999999972,0,0,0
