Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
22/11/2019 12:00:00 am,0,0.35609083148338527,0,0.58156029865593306,0,168.00428418337214,133.02108917759529,0,0.90000000000000002,0,0,0.64513548361290041
23/11/2019 12:00:00 am,50.090070695836481,0,-0.49684566353809795,0.58691635937457676,0,0,0,0,0.89233333333333331,0,0,0
24/11/2019 12:00:00 am,50.23146348557335,0,-0.42861367456769778,0.57000646430456869,0,0,0,0,0.87905681818181813,0,0,0
25/11/2019 12:00:00 am,50.429148016448963,0,-0.3924844797301229,0.59016901060573101,0,0,0,0,0.86673979511019283,0,0,0
26/11/2019 12:00:00 am,50.669144121507905,0,-0.33812879978513277,0.57812490484407686,0,0,0,0,0.84755345626095668,0,0,0
27/11/2019 12:00:00 am,50.942712247847858,0,-0.28844083411702703,0.56200896045698145,0,0,0,0,0.84824315532274286,0,0,0
28/11/2019 12:00:00 am,51.259345906971312,0,-0.25686059804039885,0.57349425716385338,0,0,0,0,0.86907888928223986,0,0,0
29/11/2019 12:00:00 am,51.608447579305341,0,-0.22098666533000033,0.57008833766403,0,0,0,0,0.85744103387173143,0,0,0
30/11/2019 12:00:00 am,51.993794402054583,0,-0.19185218493785916,0.57719900768710164,0,0,0,0,0.84943811812584513,0,0,0
1/12/2019 12:00:00 am,52.403076079934898,0,-0.16068806344395492,0.56996974132427081,0,0,0,0,0.82413168814994109,0,0,0
2/12/2019 12:00:00 am,52.873903919761545,0,-0.14420802202958516,0.61503586185623749,0,0,0,0,0.85785197741471686,0,0,0
3/12/2019 12:00:00 am,53.367743687182418,0,-0.11580302979465174,0.60964279721552161,0,0,0,0,0.83332977025760935,0,0,0
4/12/2019 12:00:00 am,53.920298425622747,0,-0.096477900230888203,0.64903263867121441,0,0,0,0,0.87901178440859229,0,0,0
5/12/2019 12:00:00 am,54.507009282167935,0,-0.072547884523273432,0.65925874106846238,0,0,0,0,0.9023780720382768,0,0,0
6/12/2019 12:00:00 am,55.119799191556389,0,-0.049784462341327718,0.66257437172978051,0,0,0,0,0.90447709133051413,0,0,0
7/12/2019 12:00:00 am,55.731548476998462,0,-0.02842015963600808,0.6401694450780776,0,0,0,0,0.90981181306805858,0,0,0
8/12/2019 12:00:00 am,56.342692509943539,0,-0.011058314663642044,0.62220234760872006,0,0,0,0,0.89052493308037683,0,0,0
9/12/2019 12:00:00 am,56.963640466632839,0,0.0034582358313013373,0.6174897208579947,0,0,0,0,0.85604049428889151,0,0,0
10/12/2019 12:00:00 am,57.586782863433648,0,0.01593098121161507,0.60721141558919156,0,0,0,0,0.84851073668480037,0,0,0
11/12/2019 12:00:00 am,58.218085582547566,0,0.026869691587237732,0.60443302752667838,0,0,0,0,0.81227862218113489,0,0,0
12/12/2019 12:00:00 am,58.866307643873256,0,0.037109161011745329,0.61111290031394438,0,0,0,0,0.79349432157076205,0,0,0
13/12/2019 12:00:00 am,59.492225878246387,0,0.043625491400172578,0.58229274297296241,0,0,0,0,0.77007757719985392,0,0,0
14/12/2019 12:00:00 am,60.13427137781354,0,0.05154337952545518,0.59050212004169644,0,0,0,0,0.78548041604659002,0,0,0
15/12/2019 12:00:00 am,60.765880838332819,0,0.056461386461693408,0.57514807405758628,0,0,0,0,0.77482423212121498,0,0,0
16/12/2019 12:00:00 am,61.437402728527502,0,0.065384460072405837,0.60613743012227528,0,0,0,0,0.80907730896235341,0,0,0
17/12/2019 12:00:00 am,62.135806006241381,0,0.072986983872945999,0.62541629384093478,0,0,0,0,0.83082882397842861,0,0,0
18/12/2019 12:00:00 am,62.839208378657197,0,0.077850623294787091,0.62555174912103195,0,0,0,0,0.84905610790938724,0,0,0
19/12/2019 12:00:00 am,63.567917447318898,0,0.084501494281393086,0.64420757438031007,0,0,0,0,0.86101725987935473,0,0,0
20/12/2019 12:00:00 am,64.283865459116967,0,0.086194815335654873,0.629753196462423,0,0,0,0,0.82663357269015392,0,0,0
21/12/2019 12:00:00 am,65.008841178984682,0,0.089917531746779744,0.63505818812093129,0,0,0,0,0.83311634133835843,0,0,0
22/12/2019 12:00:00 am,65.719616899092998,0,0.090250440521875142,0.6205252795864481,0,0,0,0,0.80580744363782442,0,0,0
23/12/2019 12:00:00 am,66.396609378398949,0,0.087506931543711808,0.5894855477622386,0,0,0,0,0.78889770399145176,0,0,0
24/12/2019 12:00:00 am,67.083552391877589,0,0.090004854175036009,0.59693815930359861,0,0,0,0,0.79023053245982011,0,0,0
25/12/2019 12:00:00 am,67.805317138417365,0,0.095563108723315082,0.62620163781646176,0,0,0,0,0.81222021982350934,0,0,0
26/12/2019 12:00:00 am,68.478694405940871,0,0.089814741017756994,0.5835625265057427,0,0,0,0,0.77526951399306498,0,0,0
27/12/2019 12:00:00 am,69.137764432415466,0,0.088306257181173464,0.57076376929342743,0,0,0,0,0.75427093497745512,0,0,0
28/12/2019 12:00:00 am,69.805375202654346,0,0.089664602184962305,0.5779461680539163,0,0,0,0,0.71763033495164452,0,0,0
29/12/2019 12:00:00 am,70.489067078302043,0,0.091869701585412855,0.5918221740622911,0,0,0,0,0.71691661939264439,0,0,0
30/12/2019 12:00:00 am,71.184191256061212,0,0.093284410306296195,0.60183976745287515,0,0,0,0,0.74260929888215887,0,0,0
31/12/2019 12:00:00 am,71.945432722521716,0,0.10183465453009077,0.65940681193040662,0,0,0,0,0.83269727441672448,0,0,0
