Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover
15/09/2022 12:00:00 am,0,0.056297730048072481,0,2.1803161306540741,0,58.745897283697381,54.500588300305182,0,0.90000000000000002,0,0,0
16/09/2022 12:00:00 am,52.147364204487637,0,-0.054302631918285785,2.2016668364059231,0,0,0,0,0.91362121212121217,0,0,0
17/09/2022 12:00:00 am,54.618023674617469,0,-0.054574719339952421,2.5252341894697867,0,0,0,0,0.95507898071625341,0,0,0
18/09/2022 12:00:00 am,56.917944393531066,0,-0.048448011837144991,2.348368730750745,0,0,0,0,0.985537939030804,0,0,0
19/09/2022 12:00:00 am,57.11256528629184,0,-0.043163467867830652,2.165898457317557,0,0,0,1.9281140966889607,1,5.8635603743133089,0,0
20/09/2022 12:00:00 am,58.620968220851573,0,-0.04053451220643034,2.1429632580707842,0,0,0,0.59402581130462617,1,1.7599999999999909,0,0
21/09/2022 12:00:00 am,60.616605315736145,0,-0.036973294978656035,2.0326103898632266,0,0,0,0,0.99484848484848476,0,0,0
22/09/2022 12:00:00 am,62.213586491216539,0,-0.035768281333695084,2.0955073099571364,0,0,0,0.46275785314304491,1,1.2918999999999983,0,0
23/09/2022 12:00:00 am,64.441378267930716,0,-0.035699178974957446,2.2634909556891332,0,0,0,0,0.99484848484848498,0,0,0
24/09/2022 12:00:00 am,65.498003982699586,0,-0.035227154481662581,2.4150006021141373,0,0,0,1.3231477328636001,1,3.5086545454545472,0,0
25/09/2022 12:00:00 am,67.983351885549169,0,-0.034098456172314551,2.5194463590219054,0,0,0,0,0.99090909090909074,0,0,0
26/09/2022 12:00:00 am,70.376303902498563,0,-0.031021248541182878,2.4239732654905706,0,0,0,0,0.9736418732782367,0,0,0
27/09/2022 12:00:00 am,72.829989743906836,0,-0.029764968384070167,2.4834508097923451,0,0,0,0,0.95340819767927176,0,0,0
28/09/2022 12:00:00 am,75.352870019764623,0,-0.028328573214740915,2.5703770237735508,0,0,0,0.019168174701022687,1,0.044181585775092458,0,0
29/09/2022 12:00:00 am,77.971498488924468,0,-0.026964099361414973,2.6455925685212698,0,0,0,0,0.99757575757575767,0,0,0
30/09/2022 12:00:00 am,79.186506826051968,0,-0.024831423486592064,2.61487382203764,0,0,0,1.3750340614235435,1,3.015939393939405,0,0
1/10/2022 12:00:00 am,81.579760748800282,0,-0.021746679365816424,2.4150006021141373,0,0,0,0,0.99818181818181806,0,0,0
2/10/2022 12:00:00 am,84.036584848612847,0,-0.020750832002841557,2.4987938222310668,0,0,0,0.021218890415655216,1,0.043854545454536265,0,0
3/10/2022 12:00:00 am,85.919749305559762,0,-0.020466607466512854,2.7149217881592591,0,0,0,0.81129072374583122,1,1.6400000000000006,0,0
4/10/2022 12:00:00 am,88.384901459707478,0,-0.017651827428614819,2.4828039815763292,0,0,0,0,0.98333333333333317,0,0,0
5/10/2022 12:00:00 am,90.840059739314754,0,-0.016263590930297167,2.4714218705375668,0,0,0,0,0.98177020202020193,0,0,0
6/10/2022 12:00:00 am,93.28066485675096,0,-0.014936639459255385,2.4555417568954554,0,0,0,0,0.96595109733700646,0,0,0
7/10/2022 12:00:00 am,95.764646326866512,0,-0.014031721493721672,2.4980131916092723,0,0,0,0,0.95223566957383754,0,0,0
8/10/2022 12:00:00 am,98.216610424335769,0,-0.012644178159226804,2.4646082756284744,0,0,0,0,0.98541487337066602,0,0,0
9/10/2022 12:00:00 am,100.5935000668254,0,-0.011317888420358524,2.3882075309099933,0,0,0,0,0.98441241115521216,0,0,0
10/10/2022 12:00:00 am,102.92506267871617,0,-0.010207185690038534,2.3417697975808056,0,0,0,0,0.99123150362992596,0,0,0
11/10/2022 12:00:00 am,105.20149270930904,0,-0.010048219940005931,2.6031181363512697,0,0,0,0.31663988581840136,1,0.52276205568179535,0,0
12/10/2022 12:00:00 am,107.81903795349469,0,-0.0091171519384696253,2.6266623961241224,0,0,0,0,0.98803030303030293,0,0,0
13/10/2022 12:00:00 am,110.33515253417856,0,-0.0079356286308230883,2.524050209314701,0,0,0,0,0.99959244719926532,0,0,0
14/10/2022 12:00:00 am,112.1062035788791,0,-0.0073875588528428127,2.671759243210575,0,0,0,0.89332063965719155,1,1.3840062823691426,0,0
15/10/2022 12:00:00 am,113.54949739463682,0,-0.0064828075931996354,2.65271311696198,0,0,0,1.2029364936110638,1,1.8400000000000034,0,0
16/10/2022 12:00:00 am,116.10735974786209,0,-0.0055322052974111635,2.5633945585226829,0,0,0,0,0.98015151515151511,0,0,0
17/10/2022 12:00:00 am,118.82932658928166,0,-0.0050204965996348827,2.7269873380192209,0,0,0,0,0.98246361340679511,0,0,0
18/10/2022 12:00:00 am,121.49211876946121,0,-0.0041976201932005797,2.6669898003727477,0,0,0,0,0.99578340343865634,0,0,0
19/10/2022 12:00:00 am,124.0173965034804,0,-0.003381563855425429,2.5286592978746167,0,0,0,0,0.96733806440408687,0,0,0
20/10/2022 12:00:00 am,126.61305996341086,0,-0.0028737813557410119,2.5985372412862144,0,0,0,0,0.9447397893353735,0,0,0
21/10/2022 12:00:00 am,129.08890780802753,0,-0.0022427155879723992,2.4780905602046315,0,0,0,0,0.91983896937207044,0,0,0
22/10/2022 12:00:00 am,131.743777923702,0,-0.0017288161895545606,2.6565989318640004,0,0,0,0,0.94386887226687044,0,0,0
23/10/2022 12:00:00 am,134.24974450784856,0,-0.0011281710465143036,2.5070947551930698,0,0,0,0,0.94784882177344776,0,0,0
