Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand,StoverNconc,ProductNconc
2/08/2022 12:00:00 am,0,1.3779810142830797,0,0.41041280740334701,0,118.6493680517074,109.00118182612417,0,0.59999999999999998,0,0,0.99999893229712988,118.6493680517074,0.019001672964844594,0.022001550552782797
3/08/2022 12:00:00 am,45.411445264702856,0,-0.14558768752559825,0.55703295222845062,0,0,0,0,0.57727272727272727,0,0,0,0,0,0
4/08/2022 12:00:00 am,45.738885154440503,0,-0.11777973975487771,0.44521962949252991,0,0,0,0,0.55365702479338841,0,0,0,0,0,0
5/08/2022 12:00:00 am,45.981498722400971,0,-0.091939010435819757,0.33455257839629032,0,0,0,0,0.54442940771349857,0,0,0,0,0,0
6/08/2022 12:00:00 am,46.213338416454256,0,-0.084934900555654169,0.31677459460893648,0,0,0,0,0.53838588728191006,0,0,0,0,0,0
7/08/2022 12:00:00 am,46.581834969462875,0,-0.10929677573349394,0.477793328742114,0,0,0,0,0.52451837200343654,0,0,0,0,0,0
8/08/2022 12:00:00 am,47.013852107423261,0,-0.10871000300161415,0.54072714096200092,0,0,0,0,0.55820064156095506,0,0,0,0,0,0
9/08/2022 12:00:00 am,47.480247022401045,0,-0.089169644857271635,0.55556455983505426,0,0,0,0,0.70598002772385249,0,0,0,0,0,0
10/08/2022 12:00:00 am,47.950045960449742,0,-0.073940488947604077,0.54373942699630384,0,0,0,0,0.82398314880995627,0,0,0,0,0,0
11/08/2022 12:00:00 am,48.316314856467571,0,-0.057480495816486843,0.42374939183431642,0,0,0,0,0.86426216647769927,0,0,0,0,0,0
12/08/2022 12:00:00 am,48.718986143682656,0,-0.057941666528076641,0.46061295374316047,0,0,0,0,0.86197900915761638,0,0,0,0,0,0
13/08/2022 12:00:00 am,49.061669248979015,0,-0.050852451041411229,0.39353555633777354,0,0,0,0,0.84108254832955287,0,0,0,0,0,0
14/08/2022 12:00:00 am,49.374008553968991,0,-0.046481690083639338,0.35882099507361487,0,0,0,0,0.82627170639528968,0,0,0,0,0,0
15/08/2022 12:00:00 am,49.737583138598616,0,-0.049056737493945013,0.41263132212356413,0,0,0,0,0.80999665763295825,0,0,0,0,0,0
16/08/2022 12:00:00 am,50.13476303504693,0,-0.049613755254610759,0.44679365170292523,0,0,0,0,0.7977239810021558,0,0,0,0,0,0
17/08/2022 12:00:00 am,50.747896529412245,0,-0.062364665757308479,0.67549816012262431,0,0,0,0,0.80262764206877024,0,0,0,0,0,0
18/08/2022 12:00:00 am,51.551078323414735,0,-0.066694829883148454,0.86987662388563647,0,0,0,0,0.85715319023491598,0,0,0,0,0,0
19/08/2022 12:00:00 am,52.510248022145518,0,-0.071473622450218821,1.0306433211810049,0,0,0,0,0.84156858677609936,0,0,0,0,0,0
20/08/2022 12:00:00 am,53.498950973232922,0,-0.062930810135114701,1.0516337612225204,0,0,0,0,0.87857749998672829,0,0,0,0,0,0
21/08/2022 12:00:00 am,54.455484187251649,0,-0.056843547833361541,1.0133767618520897,0,0,0,0,0.84662922725993817,0,0,0,0,0,0
22/08/2022 12:00:00 am,55.345105863193197,0,-0.049813097992045474,0.93943477393358865,0,0,0,0,0.80942885212275906,0,0,0,0,0,0
23/08/2022 12:00:00 am,56.273487523349807,0,-0.041089687722523749,0.9694713478791368,0,0,0,0,0.91282235138626366,0,0,0,0,0,0
24/08/2022 12:00:00 am,56.942307593639171,0,-0.029646230215809588,0.698466300505171,0,0,0,0,0.88516106801092231,0,0,0,0,0,0
25/08/2022 12:00:00 am,57.574109815304908,0,-0.026929721100159787,0.65873194276589964,0,0,0,0,0.85029108654382535,0,0,0,0,0,0
26/08/2022 12:00:00 am,58.147219226682473,0,-0.020878949985147832,0.59398836136271349,0,0,0,0,0.96036199267718592,0,0,0,0,0,0
27/08/2022 12:00:00 am,52.952167299479676,0,-0.025287088991200024,0.87153888745960217,0,0,0,6.0413037256711961,1,19.815601922552517,0,0,0,0,0
28/08/2022 12:00:00 am,53.665179628241837,0,-0.020066447364205597,0.73307877612636996,0,0,0,0,0.9939393939393939,0,0,0,0,0,0
29/08/2022 12:00:00 am,54.356578253104182,0,-0.017791473546042047,0.7091900984083862,0,0,0,0,0.99562901744719912,0,0,0,0,0,0
30/08/2022 12:00:00 am,54.577712578107594,0,-0.014685710260830875,0.61858115595643903,0,0,0,0.38276112069219825,1,1.2180716253443507,0,0,0,0,0
31/08/2022 12:00:00 am,55.082041636031505,0,-0.011899383748138703,0.5162284416720464,0,0,0,0,0.97727272727272729,0,0,0,0,0,0
1/09/2022 12:00:00 am,55.686068231288623,0,-0.012276781907796686,0.61630337716490802,0,0,0,0,0.95358126721763092,0,0,0,0,0,0
2/09/2022 12:00:00 am,56.301084646397939,0,-0.011459271531071291,0.62647568664038866,0,0,0,0,0.92324004507888802,0,0,0,0,0,0
3/09/2022 12:00:00 am,57.149816354870133,0,-0.013163691266028454,0.86189539973822249,0,0,0,0,0.88966767980329209,0,0,0,0,0,0
4/09/2022 12:00:00 am,57.868116008289554,0,-0.010209594316712867,0.72850924773613346,0,0,0,0,0.85057622114526865,0,0,0,0,0,0
5/09/2022 12:00:00 am,58.609461653720565,0,-0.0092312846914053281,0.75057693012241689,0,0,0,0,0.79902614713646436,0,0,0,0,0,0
6/09/2022 12:00:00 am,51.075970671763116,0,-0.0050796908466068658,0.5107382158941457,0,0,0,8.0391495070049839,1,27.337186490301946,0,0,0,0,0
7/09/2022 12:00:00 am,51.442312008594627,0,-0.003635329854050795,0.36997666668555917,0,0,0,0,0.97424242424242424,0,0,0,0,0,0
8/09/2022 12:00:00 am,52.152205317452875,0,-0.004732035769987597,0.71462534462824046,0,0,0,0,0.94767217630853995,0,0,0,0,0,0
9/09/2022 12:00:00 am,52.777960083799158,0,-0.0034688492880308175,0.62922361563431506,0,0,0,0,0.91895483763252361,0,0,0,0,0,0
10/09/2022 12:00:00 am,52.50543635832846,0,-0.0028415431334227748,0.77519480612147518,0,0,0,1.0448769884587545,1,3.4563779948242797,0,0,0,0,0
11/09/2022 12:00:00 am,48.814503701130704,0,-0.0018341150916296733,0.80775270793743015,0,0,0,4.4968512500435569,1,16,0,0,0,0,0
12/09/2022 12:00:00 am,49.654859687924848,0,-0.00079191946294754345,0.84114790625709002,0,0,0,0,0.97878787878787865,0,0,0,0,0,0
13/09/2022 12:00:00 am,50.683452171158585,0,0.00042852824760553077,1.0281639549861343,0,0,0,0,0.94319559228650129,0,0,0,0,0,0
14/09/2022 12:00:00 am,51.47872964959619,0,0.0015075918288740553,0.79376988660872894,0,0,0,0,0.87602863344185655,0,0,0,0,0,0
15/09/2022 12:00:00 am,52.135506422777389,0,0.001975755221390596,0.65480101795981149,0,0,0,0,0.93130049303452755,0,0,0,0,0,0
