Date,SoilMineralN,UptakeN,ResidueN,SoilOMN,FertiliserN,CropN,ProductN,LostN,RSWC,Drainage,Irrigation,Green cover,NDemand,StoverNconc,ProductNconc
19/09/2023 12:00:00 am,68.522568986739543,2.5591968467929576,0,0.4773251165266208,0,129.41545494734549,71.775503922023361,0,0.78031933191036251,0,27.600000000000001,0.99872537076401224,129.41545494734549,0.0090000000000000011,0.02
20/09/2023 12:00:00 am,66.487926667865992,2.4744271520141865,0,0.43978483314063005,0,131.88988209935968,73.147853583247482,0,0.74672095805855032,0,0,0.9988253631451296,131.88988209935968,0.0090000000000000011,0.02
21/09/2023 12:00:00 am,64.3170890118339,2.6098924551645837,0,0.43905479913249396,0,134.49977455452427,74.595334073332239,0,0.71016737554601272,0,0,0.9989218867887093,134.49977455452427,0.0090000000000000011,0.02
22/09/2023 12:00:00 am,62.189840960560119,2.5322387788355059,0,0.40499072756172122,0,137.03201333335977,75.999746818902366,0,0.67471557130475734,0,0,0.99900758851866178,137.03201333335977,0.0090000000000000011,0.02
23/09/2023 12:00:00 am,60.078272337377825,2.4891636644105404,0,0.37759504122824866,39.775976928218235,139.52117699777031,77.380269542638459,0,0.63716264874146644,0,0,0.99908491083216056,139.52117699777031,0.0090000000000000011,0.02
24/09/2023 12:00:00 am,57.831580055844334,2.6272675008306408,0,0.38057521929715044,0,142.14844449860095,78.837386460295605,0,0.60652266960015377,0,0,0.99915976320460809,142.14844449860095,0.0090000000000000011,0.02
25/09/2023 12:00:00 am,55.674546610814815,2.5071422511016408,0,0.35010880607212319,0,144.65558674970259,80.22788034335025,0,0.57975145870742173,0,0,0.99922530489493622,144.65558674970259,0.0090000000000000011,0.02
26/09/2023 12:00:00 am,53.309045104243992,2.725792416319365,0,0.36029090974854155,0,147.38137916602196,81.739640467732258,0,0.54182273660076752,0,0,0.99929063727690237,147.38137916602196,0.0090000000000000011,0.02
27/09/2023 12:00:00 am,50.870101624034007,2.7866271180535875,0,0.34768363784360412,0,150.16800628407555,83.285140313345352,0,0.49943002760501698,0,0,0.99935163618819434,150.16800628407555,0.0090000000000000011,0.02
28/09/2023 12:00:00 am,48.472957291175589,2.7230628078260111,0,0.32591847496759202,0,152.89106909190156,84.795386561156747,0,0.46860202844772836,0,0,0.99940611661954837,152.89106909190156,0.0090000000000000011,0.02
29/09/2023 12:00:00 am,50.068816008817883,2.6897111088301813,0,0.30797213365064829,0,155.58078020073174,86.287135520502432,0,0.43464363818020824,0,0,0.99945541279028294,155.58078020073174,0.0090000000000000011,0.02
30/09/2023 12:00:00 am,55.57307863007442,3.004486529002321,0,0.55355376461521222,0,158.58526672973406,87.953463044783135,0,0.79264691680169463,0,27.600000000000001,0.99950566461907564,158.58526672973406,0.0090000000000000011,0.02
1/10/2023 12:00:00 am,68.992245827550903,3.0125514744967745,0,0.52132790068595647,0,161.59781820423083,89.624263493315468,0,0.74407187069323244,0,0,0.99955143598353657,161.59781820423083,0.0090000000000000011,0.02
2/10/2023 12:00:00 am,74.364586048387437,3.0874949487471213,0,0.50463978394000741,0,164.68531315297795,91.336628572843182,0,0.69829441190021724,0,0,0.99959402061543123,164.68531315297795,0.0090000000000000011,0.02
3/10/2023 12:00:00 am,75.908038341120019,2.8835309411466312,0,0.44938554105739026,0,167.56884409412459,92.935872546136423,0,0.66350261387033382,0,0,0.99963021621351933,167.56884409412459,0.0090000000000000011,0.02
4/10/2023 12:00:00 am,73.525593940097835,2.8034747949492953,0,0.42103039392711167,0,170.37231888907388,94.490716333704498,0,0.63402919338194708,0,0,0.99966240218366231,170.37231888907388,0.0090000000000000011,0.02
5/10/2023 12:00:00 am,71.148035289263291,2.7723672541598603,0,0.39480860332531098,0,173.14468614323374,96.02830747229919,0,0.59161443273939995,0,0,0.99969157524361318,173.14468614323374,0.0090000000000000011,0.02
6/10/2023 12:00:00 am,68.628123164821531,2.9128662345316343,0,0.39295411008987513,0,176.05755237776538,97.643821182976339,0,0.54641714295728872,0,0,0.9997196312993295,176.05755237776538,0.0090000000000000011,0.02
7/10/2023 12:00:00 am,66.082404983052911,2.9187652909353119,0,0.37304710916669404,0,178.97631766870069,99.262606587487952,0,0.50137944081744579,0,0,0.99974531131690658,178.97631766870069,0.0090000000000000011,0.02
8/10/2023 12:00:00 am,63.703515970095509,2.7149230211238375,0,0.33603400816644058,0,181.69124068982453,100.76833840313508,0,0.47415272139777032,0,0,0.99976720135669317,181.69124068982453,0.0090000000000000011,0.02
9/10/2023 12:00:00 am,61.399094840756916,2.6183874266359055,0,0.31396629729731851,0,184.30962811646043,102.22053031550246,0,0.44505597125561369,0,0,0.99978664178298748,184.30962811646043,0.0090000000000000011,0.02
10/10/2023 12:00:00 am,59.115145886538691,2.5833405142712991,0,0.2993915600530761,0,186.89296863073173,103.65328475189835,0,0.41327803620624448,0,0,0.99980434123894335,186.89296863073173,0.0090000000000000011,0.02
11/10/2023 12:00:00 am,56.893990222188634,2.7403030976178115,0,0.51914743326775659,0,189.63327172834954,105.17309268991181,0,0.77985970786867631,0,27.600000000000001,0.99982163530153167,189.63327172834954,0.0090000000000000011,0.02
12/10/2023 12:00:00 am,54.407214089372111,3.0348322072404414,0,0.54805607442391924,35.971289033220685,192.66810393558998,106.85625032423066,0,0.73133995468888502,0,0,0.99983915519516842,192.66810393558998,0.0090000000000000011,0.02
13/10/2023 12:00:00 am,52.035141110737911,2.8652041360706164,0,0.49313115743641311,0,195.5333080716606,108.44533001173478,0,0.69074789119773516,0,0,0.99985425349448276,195.5333080716606,0.0090000000000000011,0.02
14/10/2023 12:00:00 am,49.737512565526586,2.7472183669790127,0,0.44958982176768619,0,198.28052643863961,109.96897324857991,0,0.64673552404262635,0,0,0.99986752478525742,198.28052643863961,0.0090000000000000011,0.02
15/10/2023 12:00:00 am,47.497390161444301,2.6523577899362749,0,0.41223538585399133,0,200.93288422857589,111.44000556872774,0,0.60095508423974831,0,0,0.99987930755402077,200.93288422857589,0.0090000000000000011,0.02
16/10/2023 12:00:00 am,45.146339689233301,2.7582856896493411,0,0.40723521743834268,0,203.69116991822523,112.96978688747393,0,0.5520298705844574,0,0,0.99989057128748027,203.69116991822523,0.0090000000000000011,0.02
17/10/2023 12:00:00 am,42.645587129025408,2.9125023304096942,0,0.41174977020180165,0,206.60367224863492,114.58509877216555,0,0.50521470318500294,0,0,0.99990145644013806,206.60367224863492,0.0090000000000000011,0.02
18/10/2023 12:00:00 am,43.879669577612241,2.7292852523411,0,0.36623879760586464,0,209.33295750097602,116.09879606908758,0,0.45860355911883638,0,0,0.99991079164548102,209.33295750097602,0.0090000000000000011,0.02
19/10/2023 12:00:00 am,48.737761377292948,2.6846387203113693,0,0.34847271334794144,0,212.01759622128739,117.5877318154196,0,0.42213227410465626,0,0,0.99991922172075909,212.01759622128739,0.0090000000000000011,0.02
20/10/2023 12:00:00 am,61.03100901602712,2.6594855854389721,0,0.56421761088486921,0,214.67708180672636,119.06271730417676,0,0.78291719504468305,0,27.600000000000001,0.99992689299771731,214.67708180672636,0.0090000000000000011,0.02
21/10/2023 12:00:00 am,65.941493867521473,2.8609912896136223,0,0.57721833446384141,0,217.53807309633999,120.64946049193657,0,0.72532386864241993,0,0,0.9999344481704866,217.53807309633999,0.0090000000000000011,0.02
22/10/2023 12:00:00 am,67.451701753000478,2.5757470238158362,0,0.48882600597276188,0,220.11382012015582,122.07800347921155,0,0.67364362783517673,0,0,0.99994067862941005,220.11382012015582,0.0090000000000000011,0.02
23/10/2023 12:00:00 am,65.389733889092895,2.5178371155544426,0,0.45586925164685932,0,222.63165723571026,123.47442887396848,0,0.62616631970318382,0,0,0.99994628457469592,222.63165723571026,0.0090000000000000011,0.02
24/10/2023 12:00:00 am,63.325554391404225,2.4917160579815629,0,0.4275365602928875,0,225.12337329369183,124.85636718856151,0,0.57247171825587628,0,0,0.99995139426687407,225.12337329369183,0.0090000000000000011,0.02
25/10/2023 12:00:00 am,61.238894172326013,2.4910078418050716,0,0.40434762272686275,0,227.6143811354969,126.2379127172004,0,0.51579163332809908,0,0,0.99995609736982327,227.6143811354969,0.0090000000000000011,0.02
26/10/2023 12:00:00 am,58.998080952920553,2.6588865277916796,0,0.41807330838622275,29.425640665127354,230.27326766328858,127.71256596075135,0,0.46873296358397321,0,0,0.99996070229115008,230.27326766328858,0.0090000000000000011,0.02
27/10/2023 12:00:00 am,56.872174695709674,2.5063636984931179,0,0.38045744128223813,0,232.7796313617817,129.1026280483467,0,0.4290761011422457,0,0,0.99996467854929738,232.7796313617817,0.0090000000000000011,0.02
28/10/2023 12:00:00 am,54.946754227616012,2.5767142956378848,0,0.65129382754422582,0,235.35634565741958,130.53170749722503,0,0.79347203969437385,0,27.600000000000001,0.99996842423003074,235.35634565741958,0.0090000000000000011,0.02
29/10/2023 12:00:00 am,53.011758126645589,2.5539408528142928,0,0.61894475184387265,0,237.91028651023387,131.94815649686245,0,0.74187816238938553,0,0,0.99997181884818065,237.91028651023387,0.0090000000000000011,0.02
30/10/2023 12:00:00 am,51.140985561801017,2.4292915799759669,0,0.55851901513139224,0,240.33957809020984,133.29547337951178,0,0.68702348814539305,0,0,0.99997477479439156,240.33957809020984,0.0090000000000000011,0.02
31/10/2023 12:00:00 am,49.293858056002719,2.3581169557955377,0,0.5109894499972425,0,242.69769504600538,134.60331588470683,0,0.62495147528495976,0,0,0.99997740708318594,242.69769504600538,0.0090000000000000011,0.02
1/11/2023 12:00:00 am,50.322597259921146,2.4136388414034116,0,0.49981397880909756,0,245.11133388740879,135.94195155382366,0,0.56602070488566791,0,0,0.9999798758918329,245.11133388740879,0.0090000000000000011,0.02
2/11/2023 12:00:00 am,54.416003196974501,2.2323427977575818,0,0.44062060178546819,0,247.34367668516637,137.18003806598668,0,0.51624406908665155,0,0,0.99998196967432962,247.34367668516637,0.0090000000000000011,0.02
